,query,answer,answer_regular_google,score_regular_google,answer_regular_microsoft,score_regular_microsoft,transcript_fisher,answer_fisher_google,score_fisher_google,answer_fisher_microsoft,score_fisher_microsoft,transcript_librispeech,answer_librispeech_google,score_librispeech_google,answer_librispeech_microsoft,score_librispeech_microsoft,transcript_tedlium,answer_tedlium_google,score_tedlium_google,answer_tedlium_microsoft,score_tedlium_microsoft
0,"Life being very short, we ought not to waste time.",人生十分短暂，我们不应该浪费时间。,人生十分短促，我们不应该浪费时间。,0.6606328636027614,生命是短暂的我们不应该浪费时间。,0.4671379777282001,i've been very shortly out not to waste time.,我已经很短了不是浪费时间。,0.4518010018049224,我一直非常短，不想浪费时间。,0.4854917717073234,I'VE BEEN VERY SHORTLY OUGHT NOT TO WASTE TIME.,我已经很短不应该浪费时间。,0.3050975216056289,我一直非常短不应该浪费时间。,0.3050975216056289,i've been very short we are not to waste time.,我已经很短，我们不能浪费时间。,0.37991784282579627,我已经很短了，我们是不想浪费时间。,0.5491004867761125
1,It's a pity that you can't buy miracles like you would buy potatoes.,可惜我们不能像买土豆一样买奇迹。,这是，你可以不买奇迹就像你会买土豆可惜。,0.5081327481546147,很遗憾你不能买奇迹，像你会买土豆。,0.6262844962765469,it's it's pretty that you can't buy miracles like you would buy potatoes.,这是它很，你可以不买奇迹就像你买土豆。,0.4914498405430853,它是它的漂亮，像你会买土豆，你不能买奇迹。,0.2843329181530769,IT'S A PITY THAT YOU CAN'T BY MIRACLES LIKE YOU WOULD BUY POTATOES.,可惜的是，你可以不被奇迹就像你买土豆。,0.42610827239170174,很遗憾你不能通过奇迹像你会买土豆。,0.5706745777055999,it's a pity that you can buy americans like you would buy potatoes.,那就是你可以买到美国人喜欢你会买土豆可惜。,0.37991784282579627,真像你会买土豆，你可以买美国人的遗憾。,0.39281465090051293
2,My father has been living in Nagoya for 30 years.,我父亲住在名古屋有30年了。,我的父亲一直住在名古屋的30年。,0.37342112655242105,我的父亲在名古屋住了 30 年。,0.5773502691896258,my son has been living in the glass source radio years.,我的儿子一直住在玻璃源无线电年。,0.4366835442847812,我的儿子一直生活在玻璃源无线电年。,0.7226568811456053,MY FATHER HAS BEEN LIVING IN NAGOYA FOR FRIO YEARS.,我的父亲一直住在名古屋FRIO年。,0.2891784933232572,我的父亲在名古屋住了 FRIO 年。,0.4602495371361941,my father has been living in nagoya force rio years.,我的父亲一直住在名古屋力拓年。,0.33180774028439425,我父亲一直住在名古屋迫使力拓年。,0.3672056269893592
3,"The average man fails not because he lacks ability, but because he lacks ability to concentrate.",通常人们失败并非能力不足，而是不够专注。,一般人失败，不是因为他缺乏能力，而是因为他缺乏集中精力的能力。,0.2046592065585361,一般人失败并不是因为他缺乏能力，而是因为他缺乏集中注意力的能力。,0.2046592065585361,the average man sells not because she lets ability but because he lets ability to concentrate.,一般人不卖，因为她让的能力，但因为他让集中精力的能力。,0.668740304976422,男性的平均销售并不是因为她让能力，而是因为他让我们集中注意力的能力。,0.18331704949485053,THAT VARIES MAN FAILS NOT BECAUSE HE LACKS ABILITY BUT BECAUSE HE LACKS ABILITY TO CONCENTRATE.,它改变人类不能倒不是因为他没有能力，而是因为他缺乏能力集中。,0.19692215902857169,不是因为他缺乏能力，而是因为他缺乏对精矿能力方法各异的人失败。,0.2046592065585361,that average man fails not because he laughs ability but because he laughs ability to concentrate.,那一般人失败，不是因为他的能力笑，而是因为他笑道集中精力的能力。,0.1842644559759274,那平均个人失败不是因为他笑的能力，而是因为他笑得集中注意力的能力。,0.1905195539361548
4,Would the girls please bring the donation boxes up to the stage?,我们请女孩带着募捐箱来到舞台。,请问姑娘请带上募捐箱到舞台？,0.8164965809277259,女孩们请将上台捐款箱吗？,0.461999336994571,but the girls please bring the donations houses up to the stage.,但女生请携带捐赠的房子到了舞台。,0.4063798282013443,但女孩请您带上台捐款房子。,0.7952707287670506,BUT THE GIRLS PLEASE BRING THE DONATION BUFF AS UP TO THE STAGE.,但是女孩请随时到舞台带来捐赠BUFF。,0.7447819789879647,但女孩请把捐赠爱好者作为期进行。,0.7400828044922853,but the girls please bring the donation of says up to the stage.,但女生请携带捐赠表示了舞台。,0.4518010018049224,但女孩请把捐赠的上台说。,0.7598356856515925
5,She told me that she would go to Paris in August.,她跟我说八月份她会去巴黎。,她告诉我，她会去巴黎在8月。,0.269855346668251,她告诉我，她会在 8 月去巴黎。,0.3816330911371337,she told me that she would go to paris in august.,她告诉我，她会去巴黎在8月。,0.269855346668251,她告诉我她会在八月去到巴黎。,0.5972880661844315,SHE TOLD ME THAT SHE WOULD GO TO PARIS IN AUGUST.,她告诉我，她会去巴黎在8月。,0.269855346668251,她告诉我她要去巴黎在 8 月。,0.5081327481546147,she told me that she would go to paris and honest.,她告诉我，她会去巴黎和诚实。,0.269855346668251,她告诉我她会去巴黎，诚实。,0.30213753973567675
6,Since then he had put his whole soul into his work.,从那时起，他就全心全意地投入到他的工作。,从那时起，他已经把他的整个灵魂到他的工作。,0.4121183751323027,从那时起他把他的整个灵魂到他的工作。,0.3438931217657843,since then he had put his whole cylinder has worked.,从那时起，他已经把他的整个气缸工作过。,0.24712442545253585,从那时起，他把他的整个工作缸。,0.24997758323995956,SINCE THEN HE HAD PUT HIS WHOLE SOUL INTO HIS WORK.,从那时起，他已经把他的整个灵魂进入他的作品。,0.2033344819004788,从那时起他把他的整个灵魂进入他的工作。,0.2390108882452813,since then he had put his halsall into his work.,从那时起，他已经把他的halsall到他的工作。,0.3002490876098761,从那时起他把他哈尔索尔到他的工作。,0.3478635157752423
7,A man came over and asked if I was OK.,一个男人过来问我怎么了。,一名男子走过来，问我是不是确定。,0.40016016019225004,一个人走了过来，问我是不是确定。,0.42311785416105785,and then came over and asked if i was okay.,然后走了过来，问我是不是没事。,0.41722614486115056,然后走了过来，问我是不是好。,0.41722614486115056,A MAN CAME OVER AND ASKED IF I WAS OKAY.,一个人治理走过来，问我是否还可以。,0.4411629359322706,男人跑过来问如果我还好。,0.5133450480401704,a man came over and asked if i was ok.,一名男子走了过来，问我怎么样了。,0.41722614486115056,一个人走了过来，问我是不是确定。,0.42311785416105785
8,I didn't get to spend a lot of time with you on this visit.,你这次来，我都没跟你在一起待多久。,我没有花很多时间与你的这次访问。,0.6431870218238024,我没花很多时间与你对这次访问。,0.6800874738944077,i didn't get to spend a lot of time with you on this visit.,我没有得到花了很多时间与你的这次访问。,0.6896391246170546,我没花很多时间与你对这次访问。,0.6800874738944077,I DIDN'T GET TO SPEND A LOT OF TIME WITH YOU ON THIS VISIT.,我没有花时间了很多与你这次访问。,0.3324473511281653,我没能和你一起度过了很多时间，在这次访问。,0.8545740127924681,i didn't get to spend a lot of time with you on this visit.,我没有得到花了很多时间与你的这次访问。,0.6896391246170546,我没花很多时间与你对这次访问。,0.6800874738944077
9,Do you know the concert schedule of London Symphony Orchestra?,你知道伦敦交响乐团的演奏会行程吗？,你知道伦敦交响乐团的音乐会时间表？,0.4775034264835464,你知道伦敦交响乐团的音乐会日程安排吗？,0.4518010018049224,do you know the concerts schedule of london cincinnati orchestra.,你知道伦敦辛辛那提交响乐团的音乐会日程。,0.4153509237206395,你知道伦敦音乐会日程辛辛那提乐团。,0.32260135189272865,DO YOU KNOW THE CONCERT SCHEDULE OF LONDON SYMPHONY ORCHESTRA.,你知道伦敦交响乐团的音乐会时间表。,0.4562272070865922,你知道伦敦交响乐团合作的音乐会时间表。,0.3155984539112945,i am now the concert schedule of london symphony orchestra.,我现在是伦敦交响乐团的音乐会日程。,0.3303164318013807,我现在是伦敦交响乐团的音乐会时间表。,0.3303164318013807
