text,translation
"I'VE BEEN VERY SHORTLY OUGHT NOT TO WASTE TIME.",我一直非常短不应该浪费时间。
"ONE THOUSAND DOLLARS WILL COVER ALL THE EXPENSES FOR THE PARTY.",一千美元为党承担所有费用。
"HER HUSBAND INTENDS TO BRING OUT A NEW MONTHLY MAGAZINE.",她的丈夫打算带出一个新的月刊。
"THE CONTRACT AS IN THE BAG SO LET'S GO OUT AND CELEBRATE.",合同作为在袋子里所以我们出去和庆祝。
"THE HISTORY OF CHINA IS OLDER THAN THAT OF JAPAN.",中国历史上是比日本更旧。
"HOW LONG ARE YOU GOING TO BE AN OXFORD FOR.",你打算将牛津。
"FOR VALENTINE'S DAY I USED ROSE PETALS TO SPELL OUT MY SWEETHEARTS NAME.",为情人节那天我用玫瑰花瓣拼出我的心上人的名字。
"I ALWAYS HAVE TWO CUPS OF COFFEE IN THE MORNING.",我总是在早上有两杯咖啡。
"I CALL YOU ON THE ONE HAND TO INVITE YOU OUT TO EAT AND ANOTHER TO TELL YOU MY SON IS GOING TO GET MARRIED.",叫你一方面要请你出去吃，别人来告诉你，我的儿子就要结婚。
"I DON'T LIKE BITTERS LIKE STUDENTS WHO GODLIKE ASKING QUESTIONS.",我不喜欢苦味像神一样问问题的学生。
"WE SHOULD TRY TO AVOID IMPOSING OUR OWN BELIEFS ON OTHERS.",我们应该尽量避免强加我们自己对他人的信念。
"IT'S A PITY THAT YOU CAN'T BY MIRACLES LIKE YOU WOULD BUY POTATOES.",很遗憾你不能通过奇迹像你会买土豆。
"I LIKE TO TAKE A HOT BATH EVERY NIGHT BEFORE BED.",我想洗个热水澡每晚睡前的。
"BEFORE I START DOING SMALL TALK HAD RATHER NOT TALK AT ALL.",在开始做之前闲聊了宁愿不说话根本。
"AS IN HAND RIVER IS LONGER THAN ANY RIVER IN JAPAN.",在手河是比任何一条河长在日本。
"THE HOUSE WHOSE ROOF YOU CAN SAY IS MISTER BAKERS.",屋顶的你可以说是贝克先生一家的房子。
"TIS POPULAR NOT BECAUSE HE IS BEAUTIFUL BUT BECAUSE HE'S FIND TO EVERY ONE.",TIS 受欢迎不是因为他是美丽，而是因为他有找到向每一个人。
"FROM READING GOOD BOOKS WE CAN DERIVE PLEASURE FRIENDSHIP EXPERIENCE AND INSTRUCTION.",从读好书使我们从中快乐友谊经验和指导。
"A GLASS OF COLD WATER IS VERY REFRESHING IN HOT WEATHER.",一杯冰冷是水的非常令人耳目一新，在炎热的天气。
"SHE SCRAPE FOR SHE WAS PLAIN BEFORE SHE ENTERED THE HOUSE.",她刮为她很普通的之前她进了屋子。
"HOUSES MADE OF WOOD ARE THE EASIEST TO CATCH ON FIRE.",木质结构的房子是最容易着火。
"TOM HAS MADE UP HIS MIND TO GO TO BOSTON TO STUDY.",汤姆已经打定主意要去波士顿研究。
"MY FATHER HAS BEEN LIVING IN NAGOYA FOR FRIO YEARS.",我的父亲在名古屋住了 FRIO 年。
"HE IS THE ONLY AMERICAN WHO HAS ON THE ENGLISH CHANNEL.",他是唯一的美国人对英吉利海峡。
"WHEN I WAS IN SALEM I WOULD OFTEN PLAY TENNIS WITH JOHN.",萨利姆的时候我经常会和约翰打网球。
"DEAR KEEP IN CONTACT WITH YOUR HIGH SCHOOL CLASSMATES.",亲爱的保持联系你的高中同学。
"MY FATHER IS SO THAT HE IS HARD OF HEARING.",我的父亲是这样他是重听。
"BECAUSE THE ENTRANCE WAS LOCKED BECAUSE AND ENTER THE HOUSE.",因为入口被锁定，因为和进入房子。
"OF COURSE I LEARNT ABOUT CHINA FROM TEXT BOOKS WHEN I WAS IN JAPAN BUT WHAT I SEE FOR MYSELF AND CHINA'S COMPLETELY DIFFERENT FROM WHAT IS DESCRIBED IN THOSE TEXTBOOKS.",当然我对中国了解从文本书时我是在日本，但我看到自己和中国的从介绍的那些教科书内容完全不同。
"THE TIGER'S LOST THE GAME WHICH WAS A SURPRISE TO US.",老虎的输掉了比赛，这是给我们一个惊喜。
"IT'S FINE JUST MAKE SURE YOU DON'T SAY THAT AGAIN.",它的罚款只是确保你不要再说了。
"AS ALERT THRIVE IN SOUTH AFRICA HAS ITS OWN LANGUAGE.",作为警报的茁壮成长，在南非有它自己的语言。
"THERE ARE MOTHERS AND FATHERS WHO WILL LIE AWAKE AFTER THE CHILDREN FALL ASLEEP AND WONDER HOW HE'LL MAKE THE MORTGAGE OR PAY THEIR DOCTORS BILLS ARE SAVE ENOUGH FOR THE CHILD'S COLLEGE EDUCATION.",有很多母亲和父亲将躺在清醒后孩子们入睡，难怪他会如何作抵押或支付其医生的法案攒钱供孩子的大学教育。
"THAT VARIES MAN FAILS NOT BECAUSE HE LACKS ABILITY BUT BECAUSE HE LACKS ABILITY TO CONCENTRATE.",不是因为他缺乏能力，而是因为他缺乏对精矿能力方法各异的人失败。
"THAT USED AS TO APPEAR BEFORE THE COURT ON FRIDAY.",使用就出现在法庭上周五。
"I DIDN'T HAVE TIME TO DINNER TONIGHT SO I WENT OUT AND BOUGHT THE BOX MEAL.",我没有时间吃晚饭今晚于是出去买了盒里的饭。
"CAN YOU TELL ME HOW TO GET TO THE TRAIN STATION.",你能告诉我去火车站怎么走。
"I LOST AS FILTHY WHEN I WAS CLEANING UP AFTER THE SCHOOL FESTIVAL AND I WAS THEN REQUIRED TO WRITE AN APOLOGY LETTER.",当清理学校的节，然后要求我在写一封道歉信，我失去了作为肮脏。
"WHEN A FRIEND COMES FROM THE FIRES THAT NOT DELIGHTFUL.",一个朋友来自火灾时，不令人愉快。
"IF SO THEN FREEZE NO PROBLEM AT ALL IS THERE.",如果那么冻结根本究竟有没有问题。
"IF YOU'RE GOING TO BE LIKE THIS I'LL JUST LEAVE.",如果你要这样我就会离开。
"DON'T YOU THINK THE NAME THE SACRED OR SOUNDS A BIT SARCASTIC.",难道你不认为名称神圣或听起来有些讽刺。
"WE CAN CONTINUE PLAYING AS LONG AS WE DON'T MAKE TOO MUCH NICE.",我们可以继续玩只要我们不要太多好。
"IT'S ANSWER THAT LED THOSE WHO HAVE BEEN TOLD FOR SO LONG BY SO MANY TO BE CYNICAL AND FEARFUL AND DOUBTFUL ABOUT WHAT WE CAN ACHIEVE TO PUT THEIR HANDS ON THE ARK OF HISTORY AND BEND IT ONCE MORE FOR THE HOPE OF A BETTER DAY.",它的答案，导致这些一直被告知等长这么多的玩世不恭和恐惧和怀疑是我们能够实现将双手放在历史的约柜和弯曲它再一次为美好明天的希望。
"BUT THE GIRLS PLEASE BRING THE DONATION BUFF AS UP TO THE STAGE.",但女孩请把捐赠爱好者作为期进行。
"WE HAVE NOT HAD A SINGLE DROP OF RAIN FOR TWO WEEKS.",我们还没有两个星期的一滴雨。
"HOWEVER COMPARED TO THAT IN CITIES GIRL USE OF ONLINE NEWS SEARCH ENGINES ON LINE SHOPPING ON LINE BANKING ONLINE STOCKS AND SO ON HIS MUCH LOWER.",但是相比，在城市的女孩使用的在线新闻搜索引擎在线购物网上银行在线股票等等他低得多。
"IF I ARE GOING TO SAY YOU HAVE TO SAY IT WITH FORCE AND TAKE AWAY OUR OPPONENTS ABILITY TO RETALIATE.",如果我是要说你要说它用力量，带走了我们的对手能力进行报复。
"OUR SISTER BOUGHT SOME EGG PLANTS POTATO SOUP PEONIES AND CHINESE CABBAGE AT THE MARKET.",我们的姐妹买了一些鸡蛋植物马铃薯汤牡丹和在市场上的白菜。
"MY FATHER ALWAYS SAID THAT HEAVEN HELPS THOSE WHO HELP THEMSELVES.",我爸爸总是说那些自助者天助。
"AN OLD MAN WAS RESTING IN THE SHADE OF THE TREE.",一位老人在树的树荫下休息。
"DO YOU THINK YOU CAN LIVE ON A DOLLAR DAY IN AMERICA.",你认为你可以住在一天的美元在美国。
"THE SUBSTANCES LIGHT ENOUGH TO FLOAT ON THE WATER.",轻到可以浮在水面上的物质。
"BECAUSE OF A FLAW IN THEIR ORIGINAL DESIGN ARE WEB SIGHT IS VULNERABLE TO SPONGE ACTION ATTACKS.",由于其原始缺陷设计是 WEB 视线是易受海绵行动攻击。
"YOU HAVE ONLY TO READ THIS ARTICLE TO SEE HOW SERIOUS THAT'S AN INQUEST.",只你要读这篇文章，看看如何严重，死因研讯。
"SHE TOLD ME THAT SHE WOULD GO TO PARIS IN AUGUST.",她告诉我她要去巴黎在 8 月。
"ROUND STRIKE BECAUSE THE COMPANY HAS IMPROVED OUR WAGES.",一轮罢工，因为公司拥有完善我们的工资。
"IT IS BETTER TO DO WELL THEN TO SAY WELL.",它是更好，要做得更好，然后说的好啊。
"UNIVERSITY LIFE IS THE TIME WHEN YOU ENJOY YOURSELF TO THE FULLEST.",大学生活是当你享受自己的时间。
"VERY ARE AROUND THE MELTING ICE CREAM WAS CRAWLING WITH ANTS.",很是周围融化冰激淋爬满了蚂蚁。
"HE AMASSED A FORTUNE AND STOCK TRADING DURING THE LAST BOOM.",他积累财富和股票交易在最后一个繁荣时期。
"STRAIGHT MARKS WHERE IN VENICE IS ALWAYS SWARMING WITH TOURISTS IN THE SUMMER.",直标志着凡在威尼斯总是挤满了游客在夏天。
"THERE IS A CASTLE IN THE BACKGROUND OF THE PICTURE.",那里是一座城堡里的背景图片。
"IF THAT IS FINE TOMORROW WELL THOUGH ON A PICNIC.",如果明天天气好的话，那么虽然上一次野餐。
"SOMETHING YOU SHOULD KNOW ABOUT ME IS THAT I AM AFRAID OF HEIGHTS.",你应该知道关于我的东西是我恐高症。
"HIS THING IS THAT THERE IS A CLOSE RELATION BETWEEN BIRTH ORDER AND PERSONALITY.",他的事就是出生顺序和人格之间的密切关系。
"SINCE THEN HE HAD PUT HIS WHOLE SOUL INTO HIS WORK.",从那时起他把他的整个灵魂进入他的工作。
"I TRIED TO REACH YOU ON THE FOUND THAT I WAS UNABLE TO GET THROUGH.",我试着联系你上发现的我是无法打通。
"ONE THING FROM THE STATION TO THE HOUSE TAKES ONLY FIVE MINUTES.",从车站到家里的一件事只需要五分钟。
"A FALL INTO A FIT AGAIN IN YOUR WIT.",A 落入又适合在您的机智。
"SOME OF THE BLUEST WATER IN THE WORLD IS FOUND IN FREIGHTER LAKE.",一些世界上最蓝的水被发现在货轮湖。
"MATHEMATICIANS ARE POETS EXCEPT THAT THEY HAVE TO PROVE WHAT THEIR FANTASY CREATES.",数学家们则诗人只是他们必须证明他们幻想的创建。
"TO TELL THE TRUTH I WOULD RATHER STAY AT HOME THEN GO OFF.",说实话我宁愿呆在家里然后熄灭。
"IN BRITISH ENGLISH FORGET THE SACK MEANS TO BE FIRED FROM YOUR JOB.",在英式英语中忘记麻袋手段要开除你的工作。
"WHAT IS STILL BETTER IS THAT THE HAS HAS A BEAUTIFUL GARDEN.",还好的是，已经有一个美丽的花园。
"I FIND WORDS WITH CONCISE DEFINITIONS TO BE THE EASIEST TO REMEMBER.",我发现与简明的定义，是最容易记住的单词。
"IN THE CENTRE OF THE UNIVERSITY CAMPUS STANDS THE STATUE OF THE FOUNDER.",在大学校园的中心矗立着创始人的雕像。
"A MAN CAME OVER AND ASKED IF I WAS OKAY.",男人跑过来问如果我还好。
"IT'S ANSWER THAT LED THOSE WHO HAVE BEEN TOLD FOR SO LONG BY SO MANY TO BE CYNICAL AND FEARFUL AND DOUBTFUL ABOUT WHAT WE CAN ACHIEVE TO PUT THEIR HANDS ON THE ARK OF HISTORY AND BEND IT ONCE MORE TOWARD THE HOPE OF A BETTER DAY.",它的答案，导致这些一直被告知等长这么多的玩世不恭和恐惧和怀疑是我们能够实现将双手放在历史的约柜和弯曲它再一次向更好的明天的希望。
"SHE CAN SURVIVE THE EYE WITH A VIEW TO GETTING A NEW JOB.",她可以生存的眼睛以获取一份新工作。
"THE MOUNTAIN PATH WAS UNDER A BLANKET OF LEAVES SOFT UNEASY TO WALK ON.",山间小道被毯子下面的叶柔不安上行走。
"IT LIKE TO TURN OFF THE READING LAMP IS THAT OKAY.",它像关闭阅读灯是那好吧。
"THE COMMITTEE IS COMPOSED OF FREEMEN AND SEVEN WOMEN.",委员会是由自由民和七名妇女组成的。
"EXCUSE ME I HAVE TO GET OFF AT THE NEXT STOP.",在下一站下车我去的借口。
"THE TRAIN UNLIKE THE JOHN HAS NEVER DREAMED OF FLYING.",与约翰不同火车从未梦想过的飞行。
"A FRIEND OF MINE ASKED ME TO SEND HER A POSTCARD.",我的一个朋友问我要送她一张明信片。
"MY BUSINESS HAS AT LAST GOTTEN ON THE RIGHT TRAP.",我的业务最后变得正确的陷阱。
"IF ONE DAY A LEAVE I WILL BE VERY SAD.",如果有一天离开我会很伤心。
"I DIDN'T GET TO SPEND A LOT OF TIME WITH YOU ON THIS VISIT.",我没能和你一起度过了很多时间，在这次访问。
"IT IS A GREAT JOY TO SEE OUR OWN SENTENCES TRANSLATED INTO A MULTITUDE OF OTHER LANGUAGES.",它是非常快乐的看看我们自己的句子翻译成多种其他语言。
"WE HAVE OF JIMMY'S THE DATE OF BASE INDEXING AND AS A RESULT SYSTEM EFFICIENCY HAS IMPROVED BY FIVE FOE.",我们有的吉米的基索引的日期和结果五个敌人所提高系统效率。
"WHEN I LIKE MEN THE WAY THEY LIKE THEIR CUFFY STRONG IN HOT TO KEEP THEM AWAKE ALL NIGHT LONG.",当我喜欢的男人的方式他们像他们 CUFFY 强在热，不能让他们整晚都保持清醒。
"YOU CANNOT SEPARATE THE MILK FROM THE COFFEE ONES YOU PUT IT IN.",不能把牛奶分从咖啡的人，你把它放 IN。
"WE LOVE OUR MOTHER ALMOST WITHOUT KNOWING IT WITHOUT FEELING IT AS IT IS AS NATURAL AS TO LIVE.",我们爱我们的母亲几乎不知道没有感觉它作为它是尽可能自然生活。
"IT IS SOMETIMES HARD TO CHOOSE BETWEEN DREAMS UNREALITY.",有时，很难梦虚幻之间进行选择。
"YOU WILL EXIST BUT YOU WILL NEVER KNOW WHAT IT IS TO LIVE.",你将存在，但你永远不会知道什么是生活。
"HE TOOK OUT THE WALLET FROM HIS INSIDE JACKET POCKET.",他掏出钱包从他的夹克口袋里。
"THE ROMANS WOULD NEVER HAVE HAD ENOUGH TIME FOR CONQUERING THE WORLD IF THEY HAD FIRST BEEN REQUIRED TO STUDY LATIN.",罗马人就没有足够的时间来征服世界，如果他们在第一次需要对研究拉丁语。
"THE LARGE CRABBER ARDEN APPROVAL AS MARK NO FLEUR PLAYED THE FIRST FEW BARS OF MANY FOR NOTHING.",大 CRABBER 雅顿批准作为标记没有芙蓉弹奏第一几小节的许多不劳而获。
"DO YOU KNOW THE CONCERT SCHEDULE OF LONDON SYMPHONY ORCHESTRA.",你知道伦敦交响乐团合作的音乐会时间表。
