audio_file_path,query
../asr_cl/speech/0_Whatpartyhadavictoryinthe2015UKelection.wav,"what party had a vegetarian that show and five election."
../asr_cl/speech/100_WhatisontheGooglecalendar.wav,"what is on the google calendar."
../asr_cl/speech/101_WhatdoesmyGooglecalendartellmetodo.wav,"why does the google calendar child me to do."
../asr_cl/speech/102_WhatdoesthecalendarsaythatIoughttodo.wav,"why does the calendar say that i have to do."
../asr_cl/speech/103_WhatdidGooglesayIshoulddotomorrow.wav,"what did google say i should do the mara."
../asr_cl/speech/104_WhatdoestheGooglecalendarthingsay.wav,"why does the google calendar things say."
../asr_cl/speech/105_WhatamIgoingtodo.wav,"what am i going to june."
../asr_cl/speech/106_Whatismyplan.wav,"what is my plan."
../asr_cl/speech/107_Whatareonmyplanduringthenextweek.wav,"but i and my plan during the next week."
../asr_cl/speech/108_WhatplandoIhavefornextmonth.wav,"what do i have four next month."
../asr_cl/speech/109_Whatstuffhavebeenputonmyplan.wav,"what staff have been put on my plan."
../asr_cl/speech/10_Theadaptiveimmunesystemmustdistinguishbetweenwhattypesofmolecules.wav,"that have immune system must distinguish between what types of molecules."
../asr_cl/speech/110_WhatplanhaveImade.wav,"what plan have an main."
../asr_cl/speech/111_Whatplanhasbeenmade.wav,"what plan has been made."
../asr_cl/speech/112_WhatkindofstuffamIsupposedtothisafternoon.wav,"what kind of stuff and i suppose to this afternoon."
../asr_cl/speech/113_Whatkindofthingtodo.wav,"what kind of thing to do."
../asr_cl/speech/114_Whattodonextweek.wav,"what to do next week."
../asr_cl/speech/115_Whathasshownuponschedule.wav,"what has shown up on schedule."
../asr_cl/speech/116_DoestheschedulesayIamgoingtowork.wav,"as the schedule say i am going to work."
../asr_cl/speech/117_Doesthescheduleforcemetodoanything.wav,"as the stench of force me to do anything."
../asr_cl/speech/118_DoIneedtoworktoday.wav,"do i need to work today."
../asr_cl/speech/119_DoIneedtospend2hoursfixingcomputerstomorrow.wav,"planning to spend two hours fixing computers tomorrow."
../asr_cl/speech/11_ABChadsecondarystatusontheexistingstationsinwhatOhiotown.wav,"and had secondary status on the existing stations and what ohio town."
../asr_cl/speech/120_DoIhavetodosomethingtoday.wav,"i have to do something today."
../asr_cl/speech/121_DoIhavetoreadthebooktonight.wav,"i have to read the night."
../asr_cl/speech/122_DoImakeanyappointmentrecently.wav,"do i make any appointment recently."
../asr_cl/speech/123_WhatappointmenthaveIarranged.wav,"what a fine and have i arranged."
../asr_cl/speech/124_Whatappointmentshowsupintheschedule.wav,"what a fine and shows up in the special."
../asr_cl/speech/125_Isthereanychunkofmytimereservedtoday.wav,"is there any chunk of my time reserve today."
../asr_cl/speech/126_AmItotallybookedtoday.wav,"unlike heavily but today."
../asr_cl/speech/127_AmIfreeWednesdaynoon.wav,"a knife a when zenon."
../asr_cl/speech/128_WillIbeavailabletodosomethingtomorrowafternoon.wav,"well at the available to do something from our afternoon."
../asr_cl/speech/129_WhenshouldIstartdoingthestuffonmyschedule.wav,"once when i start doing this stuff on my schedule."
../asr_cl/speech/12_Whywouldonepleadguiltytoacrimeinvolvingcivildisobedience.wav,"why would one for evil the church crime involving civil disobedience."
../asr_cl/speech/130_Whatistheschedule.wav,"what is the special."
../asr_cl/speech/131_Whatisonmyschedule.wav,"what is on my schedule."
../asr_cl/speech/132_WhatscheduledoIhave.wav,"what sensual to i have."
../asr_cl/speech/133_WhatscheduledidImake.wav,"what's special did i make."
../asr_cl/speech/134_WhatdidIdolastweek.wav,"what did enjoy last week."
../asr_cl/speech/135_WhathaveIdonelastyear.wav,"but have an last year."
../asr_cl/speech/136_WhathaveIbeendoingsincelastTuesday.wav,"but haven't been doing since last tuesday."
../asr_cl/speech/137_WhatdidIdolastThanksgiving.wav,"what did i last thanksgiving."
../asr_cl/speech/138_Whatdoesthecalendartellaboutmylastweek’sschedule.wav,"why does the calendar tell about my last week's special."
../asr_cl/speech/139_Whatdoyouknowaboutmyplan.wav,"but she is now about my plan."
