audio_file_path,query
../asr_qa/speech/0_WhoisthecurrentpresidentoftheUnitedStatesofAmerica.wav,"WHO IS THE CURRENT PRESIDENT OF THE UNITED STATES OF AMERICA."
../asr_qa/speech/10_WhofoundedGoogle.wav,"WHO FOUNDED THE REBEL."
../asr_qa/speech/11_WholaunchedFacebook.wav,"THE LAST FOSSBROOKE."
../asr_qa/speech/12_WhocreatedAmazon.wav,"WHO CREATED AMAZON."
../asr_qa/speech/13_WhoisthevicepresidentoftheUnitedStates.wav,"WHO IS THE VICE PRESIDENT OF THE UNITED STATES."
../asr_qa/speech/14_WhoisthepresidentofFrance.wav,"WHO IS THE PRESIDENT OF FRANCE."
../asr_qa/speech/15_WhoisthepresidentofChina.wav,"WHO IS THE PRESIDENT OF CHINA."
../asr_qa/speech/16_WhoisthefatherofCplusplustheprogramminglanguage.wav,"WHO IS THE FATHER OF SEA PLUS PLUS THE PROGRAMMING LANGUAGE."
../asr_qa/speech/17_Whoinventedthetelephone.wav,"WHO INVENTED THE TELEPHONE."
../asr_qa/speech/18_Whocreatedtheperiodictable.wav,"WHO CREATED THE PERIODIC TABLE."
../asr_qa/speech/19_Whodesignedthefirstcar.wav,"THE DESIGN THE FIRST PAR."
../asr_qa/speech/1_WhowrotetheWalden.wav,"WHO WROTE THE WALDEN."
../asr_qa/speech/20_Whoistherichestpersonintheworld.wav,"WHO HAS THE RICHEST PERSON IN THE WORLD."
../asr_qa/speech/21_WhoistheGreekmathematicianthatdevelopedgeometry.wav,"WHO IS THE GREAT MATHEMATICIAN THAT DEVELOPED GEOMETRY."
../asr_qa/speech/22_WhodiscoveredtheSouthPole.wav,"WHO DISCOVERED THE SOUTH POLE."
../asr_qa/speech/23_Whodiscoveredneutron.wav,"THE DISCOVER NEUTRON."
../asr_qa/speech/24_Whosuccessfulpredictedtheregularproteinsecondarystructures.wav,"HIS SUCCESSFUL PREDICTED THE REGULAR PROTEIN SECONDARY STRUCTURES."
../asr_qa/speech/25_WhofirstidentifiedandisolatedDNA.wav,"WHO FIRST IDENTIFIED IN ISOLATED D N A."
../asr_qa/speech/26_WhoistheauthoroftheHarryPotterseries.wav,"WHO IS THE AUTHOR OF THE HARRY POTTER SERIES."
../asr_qa/speech/27_WhoistheauthoroftheCanterburyTales.wav,"WHO IS THE AUTHOR OF THE CANTERBURY TALES."
../asr_qa/speech/28_WhowroteABriefHistoryofTime.wav,"HE WROTE A BRIEF HISTORY OF TIME."
../asr_qa/speech/29_WhowrotetheDeclarationofIndependence.wav,"WHO WROTE THE DECLARATION OF INDEPENDENCE."
../asr_qa/speech/2_WhofoundedAppleInc.wav,"WHO FOUNDED AT FULL LENGTH."
../asr_qa/speech/30_WhocomposedFürElise.wav,"WHO COMPOSE THE FARLEY ACE."
../asr_qa/speech/31_WhocomposedPianoConcertoNo5.wav,"WHO COMPOSE THE END OF CONCERTO AND OF FIVE."
../asr_qa/speech/32_WhopresentedtheTwinEarththoughtexperiment.wav,"WHO PRESENTED THAT WHEN OR THOUGHT EXPERIMENT."
../asr_qa/speech/33_WholedtheConfederateArmyintheUSCivilWar.wav,"WHEN THE CONFEDERATE ARMY AND THUS CIVIL WAR."
../asr_qa/speech/34_WholedtheCubanRevolutionin1961.wav,"LET THE CUBAN REVOLUTION IN ONE NINE SIX ONE."
../asr_qa/speech/35_WhoisthefirstemperoroftheRomanEmpire.wav,"WHO IS THE FIRST EMPEROR OF THE ROMAN EMPIRE."
../asr_qa/speech/36_WhoistheleaderofItalyduringtheworldwar2.wav,"WHO HAS THE LEADER OF ITALY DURING THE WORLD OR TWO."
../asr_qa/speech/37_WhoisthelastemperorofChina.wav,"WHO IS THE LAST EMPEROR OF CHINA."
../asr_qa/speech/38_WhoisthelastleaderoftheSovietUnion.wav,"WHO IS THE LAST LEADER OF THE SOVIET UNION."
../asr_qa/speech/39_WhodesignedtheStatueofLiberty.wav,"THE DESIGN THE STATUE OF LIBERTY."
../asr_qa/speech/3_Whoisthefirstmanonthemoon.wav,"WHO IS THE FIRST MAN ON THE MOON."
../asr_qa/speech/40_WhenwasXiJinPingborn.wav,"ONE WAS STAGING KING BORN."
../asr_qa/speech/41_WhenwasLouisTomlinsonborn.wav,"ONE WAS LOUIS TOMLINSON BORN."
../asr_qa/speech/42_WhendidAlbertEinsteindie.wav,"WHEN DID ALBERT EINSTEIN DIE."
../asr_qa/speech/43_WhendidMaryToddLincolndie.wav,"WHEN DID MARY TODDLING CAN DIE."
../asr_qa/speech/44_WhenwillthenextiPhonecomeout.wav,"WHEN WILL THE NEXT I FOUND COME OUT."
