query,image_path,result
"what party had a victory and she'll and says it's election.",,"['QA', '0'], and starting indices: [0]"
"what is on the google challenger.",,"['QA', '0'], and starting indices: [0]"
"no it doesn't get real challenge or tell me to do.",,"['QA', '0'], and starting indices: [0]"
"and does the calendars say then i ought to do.",,"['QA', '0'], and starting indices: [0]"
"what did do they'll say i should do the marta.",,"['CA', '0'], and starting indices: [0]"
"i just think it'll tell under saying say.",,"['QA', '0'], and starting indices: [0]"
"what am i going to june.",,"['CA', '0'], and starting indices: [0]"
"what is my plan.",,"['CA', '0'], and starting indices: [0]"
"but i and i plan during the next week.",,"['CA', '0'], and starting indices: [0]"
"what do i have four next month.",,"['CA', '0'], and starting indices: [0]"
"let's just have been put on my plan.",,"['CA', '0'], and starting indices: [0]"
"that's your immune system us distinguish between what types of molecules.",,"['QA', '0'], and starting indices: [0]"
"what what have i made.",,"['CA', '0'], and starting indices: [0]"
"what's that has been made.",,"['QA', '0'], and starting indices: [0]"
"what kind of stuff and i suppose to this afternoon.",,"['QA', '0'], and starting indices: [0]"
"what kind of thing to do.",,"['CA', '0'], and starting indices: [0]"
"what you do next week.",,"['CA', '0'], and starting indices: [0]"
"what has shown up on stencil.",,"['QA', '0'], and starting indices: [0]"
"that's the schedule say i'm going to work.",,"['QA', '0'], and starting indices: [0]"
"does the stencil forced me to do anything.",,"['QA', '0'], and starting indices: [0]"
"do i need to work today.",,"['CA', '0'], and starting indices: [0]"
"do i need to spend two hours fixing computers tomorrow.",,"['CA', '0'], and starting indices: [0]"
"oh ten secondary status on the existing stations and letting hire them.",,"['QA', '0'], and starting indices: [0]"
"do i have to do something today.",,"['CA', '0'], and starting indices: [0]"
"do i have to read the book tonight.",,"['QA', '0'], and starting indices: [0]"
"doing making employment recently.",,"['QA', '0'], and starting indices: [0]"
"well that's fine and have a range.",,"['QA', '0'], and starting indices: [0]"
"well that's fine that shows up in the special.",,"['QA', '0'], and starting indices: [0]"
"is there any chance of my time reserved today.",,"['QA', '0'], and starting indices: [0]"
"and i totally but today.",,"['QA', '0'], and starting indices: [0]"
"and i freelance union.",,"['QA', '0'], and starting indices: [0]"
"well i'd be available to do something tomorrow afternoon.",,"['CA', '0'], and starting indices: [0]"
"and should i start doing the stuff on my schedule.",,"['CA', '0'], and starting indices: [0]"
"well i was monthly bill teacher crime involving civil disobedience.",,"['QA', '0'], and starting indices: [0]"
"what is the stencil.",,"['QA', '0'], and starting indices: [0]"
"what is on my schedule.",,"['CA', '0'], and starting indices: [0]"
"let's send you'll do i have.",,"['CA', '0'], and starting indices: [0]"
"what's pensions and i make.",,"['QA', '0'], and starting indices: [0]"
"what did i do last week.",,"['CA', '0'], and starting indices: [0]"
"but how then last year.",,"['QA', '0'], and starting indices: [0]"
"but how they've been doing since last tuesday.",,"['QA', '0'], and starting indices: [0]"
"what did i do last thanksgiving.",,"['CA', '0'], and starting indices: [0]"
"and does the calendar tell about my last week's schedule.",,"['CA', '0'], and starting indices: [0]"
