query,polarity,magnitude
"mission impossible three was excellent.",1,0.6
"that's not even an exaggeration and that men night we went to wal-mart to buy the da vinci code which is amazing of course.",1,0.1
"should i love the da vinci code.",1,0.8
"ok so i am on a man you know that i love harry potter.",1,0.8
"harry potter anything is awesome.",1,0.9
"the da vinci code was an awesome but i just finished it.",1,0.5
"we like mission impossible.",-1,0.4
"i love harry potter and i love making friends.",1,0.9
"have ral of top ten and mission impossible.",-1,0.6
"i love mission impossible three.",-1,0.2
"harry potter is great if you have read the book.",1,0.4
"i love but the background and.",1,0.6
"i love that harry potter.",1,0.8
"made freaking awesome harry potter animated the mo d's.",1,0.9
"once exit copyright for a few bob here farm to because i love brokeback mountain the moving up because impair of course science.",-1,0.2
"of unsecured is amazing.",1,0.9
"president clinton is an excellent movie i love it after watching it.",1,0.9
"and i like harry potter.",1,0.8
"mission impossible is going to be so awesome this year.",1,0.8
"harry potter is awesome.",1,0.9
"and as harry potter and job net for the.",1,0.7
"when to say mission impossible for he was so awesome i lost feeling in my left hand.",1,0.6
"did i mention i love brokeback mountain.",1,0.7
"i love the da vinci code and i thought angels demons was pretty good right up until then where he kind of austin of the.",1,0.8
"then mission impossible year was awesome.",1,0.4
"i love harry potters mean love a superman in any other big budget nerd film.",1,0.9
"the da vinci code book is just awesome.",1,0.9
"mission impossible he is an awesome show.",1,0.8
"and then seek of us saw some already.",1,0.2
"so that tickets for mission impossible three which turned out to be awesome.",1,0.4
"i hate that the because i really like his mission impossible film so i feel that when i go see them in theatre since am putting money in his pocket doing that.",-1,0.1
"watch for feedback man can which was really beautiful and said.",1,0.7
"i love about mountain and will check out the short stories one of these days.",1,0.6
"the last stand in mission impossible three both were awesome movies.",1,0.5
"the da vinci code he was awesome.",1,0.8
"that mission impossible he is awesome.",1,0.8
"mission impossible he is awesome pictures from rains.",1,0.8
"then i turn on the light and the radio and enjoy my dog vinci code.",1,0.7
"i thought the events he could was great same with fight runner.",1,0.8
"hey lev the da vinci code.",1,0.4
"i want to do something unexpected i am not going to do something like brokeback mountain aren't car crash or anything like that because those movies are basically about diversity.",-0.9,0.7
"swann had a year are harry potter fan two thoughts great.",1,0.7
"of unsecured is one beautiful movie.",1,0.8
"i love playing defensive positions and i love brokeback mountain.",1,0.6
"i love harry potter but every few months or sold to an intense harry potter phase.",1,0.7
"while of the mission impossible thing.",1,0.1
"i love harry potter the siren much better than the movies.",1,0.8
"i love the shoes and the harry potter picture.",1,0.7
"i like harry potter and will be sorry to see him grow up.",1,0.6
