query,image_path,result
"what party had a vegetarian that show and five election.",,"['QA', '0'], and starting indices: [0]"
"what is on the google calendar.",,"['CA', '0'], and starting indices: [0]"
"why does the google calendar child me to do.",,"['CA', '0'], and starting indices: [0]"
"why does the calendar say that i have to do.",,"['CA', '0'], and starting indices: [0]"
"what did google say i should do the mara.",,"['CA', '0'], and starting indices: [0]"
"why does the google calendar things say.",,"['QA', '0'], and starting indices: [0]"
"what am i going to june.",,"['CA', '0'], and starting indices: [0]"
"what is my plan.",,"['CA', '0'], and starting indices: [0]"
"but i and my plan during the next week.",,"['CA', '0'], and starting indices: [0]"
"what do i have four next month.",,"['CA', '0'], and starting indices: [0]"
"what staff have been put on my plan.",,"['CA', '0'], and starting indices: [0]"
"that have immune system must distinguish between what types of molecules.",,"['QA', '0'], and starting indices: [0]"
"what plan have an main.",,"['QA', '0'], and starting indices: [0]"
"what plan has been made.",,"['QA', '0'], and starting indices: [0]"
"what kind of stuff and i suppose to this afternoon.",,"['QA', '0'], and starting indices: [0]"
"what kind of thing to do.",,"['CA', '0'], and starting indices: [0]"
"what to do next week.",,"['CA', '0'], and starting indices: [0]"
"what has shown up on schedule.",,"['CA', '0'], and starting indices: [0]"
"as the schedule say i am going to work.",,"['CA', '0'], and starting indices: [0]"
"as the stench of force me to do anything.",,"['QA', '0'], and starting indices: [0]"
"do i need to work today.",,"['CA', '0'], and starting indices: [0]"
"planning to spend two hours fixing computers tomorrow.",,"['QA', '0'], and starting indices: [0]"
"and had secondary status on the existing stations and what ohio town.",,"['QA', '0'], and starting indices: [0]"
"i have to do something today.",,"['CA', '0'], and starting indices: [0]"
"i have to read the night.",,"['QA', '0'], and starting indices: [0]"
"do i make any appointment recently.",,"['CA', '0'], and starting indices: [0]"
"what a fine and have i arranged.",,"['QA', '0'], and starting indices: [0]"
"what a fine and shows up in the special.",,"['QA', '0'], and starting indices: [0]"
"is there any chunk of my time reserve today.",,"['QA', '0'], and starting indices: [0]"
"unlike heavily but today.",,"['QA', '0'], and starting indices: [0]"
"a knife a when zenon.",,"['QA', '0'], and starting indices: [0]"
"well at the available to do something from our afternoon.",,"['CA', '0'], and starting indices: [0]"
"once when i start doing this stuff on my schedule.",,"['CA', '0'], and starting indices: [0]"
"why would one for evil the church crime involving civil disobedience.",,"['QA', '0'], and starting indices: [0]"
"what is the special.",,"['QA', '0'], and starting indices: [0]"
"what is on my schedule.",,"['CA', '0'], and starting indices: [0]"
"what sensual to i have.",,"['QA', '0'], and starting indices: [0]"
"what's special did i make.",,"['QA', '0'], and starting indices: [0]"
"what did enjoy last week.",,"['QA', '0'], and starting indices: [0]"
"but have an last year.",,"['QA', '0'], and starting indices: [0]"
"but haven't been doing since last tuesday.",,"['QA', '0'], and starting indices: [0]"
"what did i last thanksgiving.",,"['QA', '0'], and starting indices: [0]"
