audio_file_path,query
../asr_cl/speech/0_Whatpartyhadavictoryinthe2015UKelection.wav,"WHAT PART HE HAD A VICTORY AND THE TWO L ONE FIVE OF COLLECTION."
../asr_cl/speech/100_WhatisontheGooglecalendar.wav,"WHAT IS ON THE GRAVEL CALENDAR."
../asr_cl/speech/101_WhatdoesmyGooglecalendartellmetodo.wav,"WHY DOES THE GIGGLE CALENDAR TELL ME TO DO."
../asr_cl/speech/102_WhatdoesthecalendarsaythatIoughttodo.wav,"WHY DOES THE CALENDAR SAY THAT I OUGHT TO DO."
../asr_cl/speech/103_WhatdidGooglesayIshoulddotomorrow.wav,"WHAT DID VERY WELL SAY I SHOULD GIVE HIM MAIA."
../asr_cl/speech/104_WhatdoestheGooglecalendarthingsay.wav,"WHY DOES THE GIGGLED CALENDAR THING SAY."
../asr_cl/speech/105_WhatamIgoingtodo.wav,"WHAT AM I GOING TO DO."
../asr_cl/speech/106_Whatismyplan.wav,"WHAT IS MY PLAN."
../asr_cl/speech/107_Whatareonmyplanduringthenextweek.wav,"BUT I AND MY PLAN DURING THE NEXT WEEK."
../asr_cl/speech/108_WhatplandoIhavefornextmonth.wav,"WHAT LAND THOUGH I HAVE FOR NEXT MONTH."
../asr_cl/speech/109_Whatstuffhavebeenputonmyplan.wav,"WHAT STUFF HAVE BEEN PUT ON MY PLAN."
../asr_cl/speech/10_Theadaptiveimmunesystemmustdistinguishbetweenwhattypesofmolecules.wav,"THAT ACTIVE IMMUNE SYSTEM MUST DISTINGUISH BETWEEN WHAT TYPES OF MOLECULES."
../asr_cl/speech/110_WhatplanhaveImade.wav,"WHAT PLAN HAVE I MADE."
../asr_cl/speech/111_Whatplanhasbeenmade.wav,"WHAT PLAN HAS BEEN MADE."
../asr_cl/speech/112_WhatkindofstuffamIsupposedtothisafternoon.wav,"WHAT KIND OF STUFF AND I SUPPOSE TO THIS AFTERNOON."
../asr_cl/speech/113_Whatkindofthingtodo.wav,"WHAT KIND OF THING TO DO."
../asr_cl/speech/114_Whattodonextweek.wav,"WHAT TO DO NEXT WEEK."
../asr_cl/speech/115_Whathasshownuponschedule.wav,"WHAT HAS SHOWN UP ON SCHEDULE."
../asr_cl/speech/116_DoestheschedulesayIamgoingtowork.wav,"DOES THE SCHEDULE SAY I AM GOING TO WORK."
../asr_cl/speech/117_Doesthescheduleforcemetodoanything.wav,"DOES THE SCHEDULE FORCED ME TO DO ANYTHING."
../asr_cl/speech/118_DoIneedtoworktoday.wav,"THERE I NEED TO WORK TO DAY."
../asr_cl/speech/119_DoIneedtospend2hoursfixingcomputerstomorrow.wav,"THERE I NEED TO SPEND TWO HOURS FIXING COMPUTERS TOMORROW."
../asr_cl/speech/11_ABChadsecondarystatusontheexistingstationsinwhatOhiotown.wav,"AUNT HAD SECONDARY STATUS ON THE EXISTING STATIONS IN WHAT OHIO DOWN."
../asr_cl/speech/120_DoIhavetodosomethingtoday.wav,"THERE I HAVE TO DO SOMETHING TO DAY."
../asr_cl/speech/121_DoIhavetoreadthebooktonight.wav,"I HAVE TO READ THE BOOK TONIGHT."
