query,polarity,magnitude
"MISSION IMPOSSIBLE THREE WAS EXCELLENT.",-1,0.3
"THAT'S NOT EVEN AN EXAGGERATION AND AT MIDNIGHT WE WENT TO WELL MARKED BY THE DA VINCI CODE WHICH IS AMAZING OF COURSE.",1,0.1
"SHOULD I LOVE THE DA VINCI CODE.",1,0.9
"AGAIN SO I'LL NO MAN YOU KNOW THAT I LOVE HARRY POTTER.",1,0.9
"HARRY POTTER ANYTHING AS AWESOME.",1,0.9
"THE DA VINCI COVERS AN AWESOME BOOK HAD JUST FINISHED IT.",1,0.9
"WE LIKE MISSION IMPOSSIBLE.",-1,0.4
"I LOVE HARRY POTTER AND I LOVE MAKING FRIENDS.",1,0.9
"HOWEVER I LOVE CHOPPED DOWN AND MISSION IMPOSSIBLE.",1,0.3
"I LOVE MISSION IMPOSSIBLE FREE.",-1,0.2
"HARRY POTTER IS GREAT IF YOU HAVE READ THE BOOK.",1,0.1
"I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"I LOVE THAT HARRY POTTER.",1,0.8
"MADE FREE KING AWESOME HARRY POTTER ANIMATED THE MOTI'S.",1,0.9
"ONE SEX OF COPYRIGHT BROKE ABOVE HERE FORM TO BECAUSE I LOVE BROKE ABOUT MOUNTAIN THE MOVING UP BECAUSE IN PRAYER OF COURSE I AUNT.",-1,0.9
"DA VINCI COAT IS AMAZING.",1,0.8
"FOR THE BY FOUNTAIN IS AN EXCELLENT MOVIE I LOVE IT AFTER WATCHING IT.",1,0.7
"AND I LIKE HARRY POTTER.",1,0.8
"MISSION IMPOSSIBLE IS GOING TO BE SO AWESOME THIS YEAR.",1,0.9
"HARRY POTTER'S AWESOME.",1,0.9
"AND AS HARRY POTTER AND JAFFNA FOOD.",1,0.2
"WHEN TIS A MISSION IMPOSSIBLE FREE WAS SO US I LOST FEELING IN MY LEFT HAND.",-1,0.3
"DID I MENTION I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"I LOVE THE DA VINCI CUT AND I THOUGHT ANGELS DEMONS WAS PRETTY GOOD RIGHT UP UNTIL THEN WHERE HE KIND OF AUSTEN ABBOTT.",1,0.4
"THEN MISSION IMPOSSIBLE YEA WAS AWESOME.",1,0.8
"I LOVE HARRY POTTER'S MEAN LOVES SUPERMAN IN ANY OTHER BIG BUDGET NERVED FELL MME.",1,0.9
"THE DA VINCI CAN BECAUSE JUST AWESOME.",1,0.9
"MISSION IMPOSSIBLE YEA IS AN AWESOME SHOW.",1,0.7
"AND DA VINCI COVER SAW SOME ALREADY.",1,0.3
"SO HE GOT TICKETS FOR MISSION IMPOSSIBLE FURY WHICH TURNED OUT TO BE AWESOME.",1,0.6
"I HATE THAT THOUGH THE FATHER ALIKE HIS MISSION IMPOSSIBLE FILLED SO I FEEL THAT WHEN I GO SEE THEM AND THE EVER SINCE AND PUTTING MONEY IN HIS POCKET DOING THAT.",-1,0.1
"WHAT ARE THE BUT NONE CAN WHICH WAS REALLY BEAUTIFUL AND SAD.",-0.9,0.5
"I LOVE BROKE ABOUT MOUNTAIN AND WILL CHECK OUT THE SHORT STORIES ONE OF THESE DAYS.",-1,0.3
"THE LAST STAND AND MISSION IMPOSSIBLE THREE BOTH WERE AWESOME MOVIES.",1,0.6
"THE DA VINCI CLEVE WAS AWESOME.",1,0.9
"BUT MISSION IMPOSSIBLE YEAS AWESOME.",1,0.4
"MISSION IMPOSSIBLE YEA IS AWESOME PICTURES FROM ARIANS.",1,0.8
"THEN I TURN ON THE LIGHT IN THE RADIO AND ENJOY MY DA VINCI COVE.",1,0.6
"I THOUGHT DA VINCI COVE WAS GREAT SAM WITH TIGHT RUNNER.",1,0.4
"HOW I LOVE THE DA VINCI CODE.",1,0.9
"I WANT TO DO SOMETHING UNEXPECTED I AM NOT GOING TO DO SOMETHING LIKE BROKE ABOUT MOUNTAIN ORANGE OR PRESSURE ANYTHING LIKE THAT BECAUSE THOSE MOVIES ARE BASICALLY ABOUT DIVERSITY.",-1,0.9
"SWANN HAD YOU ARE A HAIRY POTTER FANCIES THAT'S GREAT.",1,0.7
"DA VINCI CUT IS ONE BEAUTIFUL MOVIE.",1,0.5
"I LOVE PLAYING DEFENSIVE POSITIONS AND I LOVE BROKE ABOUT MOUNTAIN.",-1,0.2
"I LOVE HARRY POTTER BUT EVERY FEW MONTHS OR SO AGO THROUGH AN INTENSE HARRY POTTER PHASE.",1,0
"OH I LOVE THE MISSION IMPOSSIBLE THING.",1,0.4
"I LOVE HARRY POTTER THE BOOKS ARE MUCH BETTER THAN THE MOVIES.",1,0.9
"I LOVE THE SHOES IN THE HARRY POTTER PICTURE.",1,0.9
"I LIKE HARRY POTTER AND WILL BE SORRY TO SEE HIM GROW UP.",1,0.5
"I LOVE MISSION IMPOSSIBLE IT'S LIKE THE ONLY ACTION MOVIE I LIKE POST ON CRUISES IN IT.",1,0.4
"THE DA VINCI CODE IS AN AWESOME BOOK.",1,0.9
"IN ANY CASE I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"MISSION IMPOSSIBLE WAS AWESOME.",1,0.7
"I LOVE YOUR COLORED HARRY POTTER TOO.",1,0
"I LOVED SEEING MISSION IMPOSSIBLE.",-1,0.3
"AFTER TWO EARRINGS MISSION IMPOSSIBLE THREE IS STILL FUCKING AWESOME.",1,0.6
"BUT AS I LOVE HARRY POTTER.",1,0.9
"BACK IN MELBOURNE MOM AND I WENT TO SAVE OF INSIE CODE WHICH WAS TOTALLY AWESOME BUT THEY LEFT THINGS OUT.",1,0.5
"AND JUST HAVE TO SAY THAT THE NEW MISSION IMPOSSIBLE FREE IS AWESOME.",1,0.6
"JUST BECAUSE THE DA VINCI CUT HIS AWESOME VARIES MEAN JESUS CAN'T BE THE MOST ADMIRED BACHELOR.",1,0.4
"MISSION IMPOSSIBLE THREE WAS US SOME THOUGH.",-1,0.3
"WHAT IS LIKE TO SEE IS SOME MISSION IMPOSSIBLE STUFF MAYBE THROW THEM IN JAIL AND HAVE THEM BREAK OUT IN THREE MINUTES.",-1,0.7
"IF YOU KNOW ME AT ALL YOU KNOW THAT I ABSOLUTELY LOVE BROKE ABOUT MOUNTAIN.",1,0
"SO I DID AND AS A MISSION IMPOSSIBLE MOVIE FROM OFF THE ROCKS AND IT WAS GOING GOOD UNTIL I FELL AND ROLLED.",1,0.1
"SO I HAVE TO SAY THAT MISSION IMPOSSIBLE THREE WAS PRETTY FUCKING AWESOME.",1,0.7
"SPOKE WITH MISSUS HUN BRIEFLY ABOUT HARRY POTTER INDEPENDENT STUDY WHICH WOULD BE INCREDIBLY AWESOME BUT WHICH I AM ALSO FAR FAR TOO LAZY TO TAKE MY LAST SEMESTER IN COLLEGE.",-1,0.1
"FORGIVE OF MOUNTAIN WAS BEAUTIFUL.",1,0.6
"I WAS THINKING OF REREADING THE SIXTY A CHERRY POTTER BEFFA FOOTPRINTS WHICH IS AN AWESOME BOOK AND I CAN'T WAIT TO READ THE FINAL ON WHEN IT COMES OUT.",1,0.9
"WENT TO SEE MISSION IMPOSSIBLE FURY WHICH IS AWESOME.",1,0.8
"WELL IF I OUR ESO PROFESS TO PULL IT OFF MISSION IMPOSSIBLE STYLE THAT WOULD BE FITTING AMAZING.",1,0.6
"I LIKE THE DA VINCI CUT A LOT.",1,0.1
"FORGIVE OF MOUNTAIN SOUNDS BEAUTIFUL.",1,0.6
