audio_file_path,query
../asr_sa/speech/0_MissionImpossible3wasexcellent.wav,"MISSION IMPOSSIBLE THREE WAS EXCELLENT."
../asr_sa/speech/100_thatsnotevenanexaggerationandatmidnightwewenttoWalMarttobuytheDaVinciCodewhichisamazingofcourse.wav,"THAT'S NOT EVEN AN EXAGGERATION AND AT MIDNIGHT WE WENT TO WELL MARKED BY THE DA VINCI CODE WHICH IS AMAZING OF COURSE."
../asr_sa/speech/101_shitilovethedavincicode.wav,"SHOULD I LOVE THE DA VINCI CODE."
../asr_sa/speech/102_OkaysoyallknowmeandyouknowthatIloveHarryPotter.wav,"AGAIN SO I'LL NO MAN YOU KNOW THAT I LOVE HARRY POTTER."
../asr_sa/speech/103_HarryPotteranythingisawesome.wav,"HARRY POTTER ANYTHING AS AWESOME."
../asr_sa/speech/104_thedavincicodewasanawesomebookijustfinishedit.wav,"THE DA VINCI COVERS AN AWESOME BOOK HAD JUST FINISHED IT."
../asr_sa/speech/105_WelikedMissionImpossible.wav,"WE LIKE MISSION IMPOSSIBLE."
../asr_sa/speech/106_IloveHarryPotterandIlovemakingfriends.wav,"I LOVE HARRY POTTER AND I LOVE MAKING FRIENDS."
../asr_sa/speech/107_HoweverIloveTopGunandMissionImpossible.wav,"HOWEVER I LOVE CHOPPED DOWN AND MISSION IMPOSSIBLE."
../asr_sa/speech/108_ILOVEDMissionImpossible3.wav,"I LOVE MISSION IMPOSSIBLE FREE."
../asr_sa/speech/109_HarryPotterisgreatifyouhavereadthebook.wav,"HARRY POTTER IS GREAT IF YOU HAVE READ THE BOOK."
../asr_sa/speech/10_IloveBrokebackMountain.wav,"I LOVE BROKE ABOUT MOUNTAIN."
../asr_sa/speech/110_IlovethatHarryPotter.wav,"I LOVE THAT HARRY POTTER."
../asr_sa/speech/111_madefreakingawesomeHarryPotteranimatedemotes.wav,"MADE FREE KING AWESOME HARRY POTTER ANIMATED THE MOTI'S."
../asr_sa/speech/112_BrokebackHillForm2becauseIloveBrokebackMountainthemovienotbecauseImqueerofcourseIaint.wav,"ONE SEX OF COPYRIGHT BROKE ABOVE HERE FORM TO BECAUSE I LOVE BROKE ABOUT MOUNTAIN THE MOVING UP BECAUSE IN PRAYER OF COURSE I AUNT."
../asr_sa/speech/113_DaVinciCodeisamazing.wav,"DA VINCI COAT IS AMAZING."
../asr_sa/speech/114_BrokebackMountainisanexcellentmovieIloveitafterwatchingit.wav,"FOR THE BY FOUNTAIN IS AN EXCELLENT MOVIE I LOVE IT AFTER WATCHING IT."
../asr_sa/speech/115_AndIlikeHarryPotter.wav,"AND I LIKE HARRY POTTER."
../asr_sa/speech/116_MissionImpossibleisgoingtobesoawesomethisyear.wav,"MISSION IMPOSSIBLE IS GOING TO BE SO AWESOME THIS YEAR."
../asr_sa/speech/117_HarryPottersawesome.wav,"HARRY POTTER'S AWESOME."
../asr_sa/speech/118_ImissHarryPotterandJapenesefood.wav,"AND AS HARRY POTTER AND JAFFNA FOOD."
../asr_sa/speech/119_wenttoseeMissionImpossible3wassoawesomeilostfeelinginmylefthand.wav,"WHEN TIS A MISSION IMPOSSIBLE FREE WAS SO US I LOST FEELING IN MY LEFT HAND."
../asr_sa/speech/11_DIDIMENTIONILOVEBROKEBACKMOUNTAIN.wav,"DID I MENTION I LOVE BROKE ABOUT MOUNTAIN."
../asr_sa/speech/120_IlovedTheDaVinciCodeandIthoughtAngelsDemonswasprettygoodrightupuntiltheendwherehekindoflostitabit.wav,"I LOVE THE DA VINCI CUT AND I THOUGHT ANGELS DEMONS WAS PRETTY GOOD RIGHT UP UNTIL THEN WHERE HE KIND OF AUSTEN ABBOTT."
../asr_sa/speech/121_thenmissionimpossibleIIIwasawesome.wav,"THEN MISSION IMPOSSIBLE YEA WAS AWESOME."
../asr_sa/speech/122_IloveHarryPotterxmenLotRSupermanandanyotherbigbudgetnerdfilm.wav,"I LOVE HARRY POTTER'S MEAN LOVES SUPERMAN IN ANY OTHER BIG BUDGET NERVED FELL MME."
../asr_sa/speech/123_TheDaVinciCodebookisjustawesome.wav,"THE DA VINCI CAN BECAUSE JUST AWESOME."
../asr_sa/speech/124_MissionImpossibleIIIisanawesomeshow.wav,"MISSION IMPOSSIBLE YEA IS AN AWESOME SHOW."
../asr_sa/speech/125_andDaVinciCodewassoawesomealready.wav,"AND DA VINCI COVER SAW SOME ALREADY."
../asr_sa/speech/126_sowegotticketsformissionimpossible3whichturnedouttobeawesome.wav,"SO HE GOT TICKETS FOR MISSION IMPOSSIBLE FURY WHICH TURNED OUT TO BE AWESOME."
../asr_sa/speech/127_IhateitthoughbecauseIreallylikehisMissionImpossiblefilmssoIfeelbadwhenIgoseethemintheatersinceImputtingmoneyinhispocketdoingthat.wav,"I HATE THAT THOUGH THE FATHER ALIKE HIS MISSION IMPOSSIBLE FILLED SO I FEEL THAT WHEN I GO SEE THEM AND THE EVER SINCE AND PUTTING MONEY IN HIS POCKET DOING THAT."
../asr_sa/speech/128_WatchedBrokebackMountainwhichwasreallybeautifulandsad.wav,"WHAT ARE THE BUT NONE CAN WHICH WAS REALLY BEAUTIFUL AND SAD."
../asr_sa/speech/129_IlovedBrokebackMountainandwillcheckouttheshortstoriesoneofthesedays.wav,"I LOVE BROKE ABOUT MOUNTAIN AND WILL CHECK OUT THE SHORT STORIES ONE OF THESE DAYS."
../asr_sa/speech/12_thelaststandandMissionImpossible3bothwereawesomemovies.wav,"THE LAST STAND AND MISSION IMPOSSIBLE THREE BOTH WERE AWESOME MOVIES."
../asr_sa/speech/130_TheDaVinciCodeitwasAWESOME.wav,"THE DA VINCI CLEVE WAS AWESOME."
../asr_sa/speech/131_ButMissionImpossibleIIIisawesome.wav,"BUT MISSION IMPOSSIBLE YEAS AWESOME."
../asr_sa/speech/132_MissionImpossibleIIIisawesomePicturesfromErins.wav,"MISSION IMPOSSIBLE YEA IS AWESOME PICTURES FROM ARIANS."
