query,image_path,result
"WHAT PART HE HAD A VICTORY AND THE TWO L ONE FIVE OF COLLECTION.",,"['QA', '0'], and starting indices: [0]"
"WHAT IS ON THE GRAVEL CALENDAR.",,"['QA', '0'], and starting indices: [0]"
"WHY DOES THE GIGGLE CALENDAR TELL ME TO DO.",,"['QA', '0'], and starting indices: [0]"
"WHY DOES THE CALENDAR SAY THAT I OUGHT TO DO.",,"['CA', '0'], and starting indices: [0]"
"WHAT DID VERY WELL SAY I SHOULD GIVE HIM MAIA.",,"['QA', '0'], and starting indices: [0]"
"WHY DOES THE GIGGLED CALENDAR THING SAY.",,"['QA', '0'], and starting indices: [0]"
"WHAT AM I GOING TO DO.",,"['CA', '0'], and starting indices: [0]"
"WHAT IS MY PLAN.",,"['CA', '0'], and starting indices: [0]"
"BUT I AND MY PLAN DURING THE NEXT WEEK.",,"['CA', '0'], and starting indices: [0]"
"WHAT LAND THOUGH I HAVE FOR NEXT MONTH.",,"['QA', '0'], and starting indices: [0]"
"WHAT STUFF HAVE BEEN PUT ON MY PLAN.",,"['CA', '0'], and starting indices: [0]"
"THAT ACTIVE IMMUNE SYSTEM MUST DISTINGUISH BETWEEN WHAT TYPES OF MOLECULES.",,"['QA', '0'], and starting indices: [0]"
"WHAT PLAN HAVE I MADE.",,"['QA', '0'], and starting indices: [0]"
"WHAT PLAN HAS BEEN MADE.",,"['QA', '0'], and starting indices: [0]"
"WHAT KIND OF STUFF AND I SUPPOSE TO THIS AFTERNOON.",,"['QA', '0'], and starting indices: [0]"
"WHAT KIND OF THING TO DO.",,"['CA', '0'], and starting indices: [0]"
"WHAT TO DO NEXT WEEK.",,"['CA', '0'], and starting indices: [0]"
"WHAT HAS SHOWN UP ON SCHEDULE.",,"['CA', '0'], and starting indices: [0]"
"DOES THE SCHEDULE SAY I AM GOING TO WORK.",,"['QA', '0'], and starting indices: [0]"
"DOES THE SCHEDULE FORCED ME TO DO ANYTHING.",,"['CA', '0'], and starting indices: [0]"
"THERE I NEED TO WORK TO DAY.",,"['QA', '0'], and starting indices: [0]"
"THERE I NEED TO SPEND TWO HOURS FIXING COMPUTERS TOMORROW.",,"['QA', '0'], and starting indices: [0]"
"AUNT HAD SECONDARY STATUS ON THE EXISTING STATIONS IN WHAT OHIO DOWN.",,"['QA', '0'], and starting indices: [0]"
"THERE I HAVE TO DO SOMETHING TO DAY.",,"['CA', '0'], and starting indices: [0]"
"I HAVE TO READ THE BOOK TONIGHT.",,"['QA', '0'], and starting indices: [0]"
"THEN I MAKE ANY APPOINTMENT RECENTLY.",,"['QA', '0'], and starting indices: [0]"
"WHAT A FINE AND HAVE A ARRANGED.",,"['QA', '0'], and starting indices: [0]"
"WHAT A FINE AND SHOWS UP IN THIS VIGIL.",,"['CA', '0'], and starting indices: [0]"
