audio_file_path,query
../asr_qa/speech/0_WhoisthecurrentpresidentoftheUnitedStatesofAmerica.wav,"so is the current president of the united states of america."
../asr_qa/speech/10_WhofoundedGoogle.wav,"sometimes they'll."
../asr_qa/speech/11_WholaunchedFacebook.wav,"so i suspect."
../asr_qa/speech/12_WhocreatedAmazon.wav,"create an amazon."
../asr_qa/speech/13_WhoisthevicepresidentoftheUnitedStates.wav,"so is the vice president of the united states."
../asr_qa/speech/14_WhoisthepresidentofFrance.wav,"so is the president of france."
../asr_qa/speech/15_WhoisthepresidentofChina.wav,"so is the president of china."
../asr_qa/speech/16_WhoisthefatherofCplusplustheprogramminglanguage.wav,"so is the father of c. plus plus the programming language."
../asr_qa/speech/17_Whoinventedthetelephone.wav,"invented the telephone."
../asr_qa/speech/18_Whocreatedtheperiodictable.wav,"the pain in the carry on cable."
../asr_qa/speech/19_Whodesignedthefirstcar.wav,"design the first part."
../asr_qa/speech/1_WhowrotetheWalden.wav,"right the long run."
../asr_qa/speech/20_Whoistherichestpersonintheworld.wav,"so is the richest person in the world."
../asr_qa/speech/21_WhoistheGreekmathematicianthatdevelopedgeometry.wav,"so is the great mathematician that develops geometry."
../asr_qa/speech/22_WhodiscoveredtheSouthPole.wav,"discovered the south pole."
../asr_qa/speech/23_Whodiscoveredneutron.wav,"discover neutron."
../asr_qa/speech/24_Whosuccessfulpredictedtheregularproteinsecondarystructures.wav,"so successful predicted the regular protein secondary structures."
../asr_qa/speech/25_WhofirstidentifiedandisolatedDNA.wav,"first and then to find an isolated d._n._a.."
../asr_qa/speech/26_WhoistheauthoroftheHarryPotterseries.wav,"so it's not fair and the harry potter series."
../asr_qa/speech/27_WhoistheauthoroftheCanterburyTales.wav,"so it's not fair and the canterbury tales."
../asr_qa/speech/28_WhowroteABriefHistoryofTime.wav,"really brief history of time."
../asr_qa/speech/29_WhowrotetheDeclarationofIndependence.wav,"right the declaration of independence."
../asr_qa/speech/2_WhofoundedAppleInc.wav,"sounded that's willing to."
../asr_qa/speech/30_WhocomposedFürElise.wav,"so sometimes that's our lease."
../asr_qa/speech/31_WhocomposedPianoConcertoNo5.wav,"supposed an open chairs i know size."
../asr_qa/speech/32_WhopresentedtheTwinEarththoughtexperiment.wav,"presented this winter thought experiment."
../asr_qa/speech/33_WholedtheConfederateArmyintheUSCivilWar.wav,"so and the confederate army in a civil or."
../asr_qa/speech/34_WholedtheCubanRevolutionin1961.wav,"so and the cuban revolution in one nine six one."
../asr_qa/speech/35_WhoisthefirstemperoroftheRomanEmpire.wav,"so is the first and for the roman empire."
../asr_qa/speech/36_WhoistheleaderofItalyduringtheworldwar2.wav,"so is the leader of italy during world war two."
../asr_qa/speech/37_WhoisthelastemperorofChina.wav,"so is the last and parents china."
../asr_qa/speech/38_WhoisthelastleaderoftheSovietUnion.wav,"so is the last leader of the soviet union."
../asr_qa/speech/39_WhodesignedtheStatueofLiberty.wav,"design the statue of liberty."
../asr_qa/speech/3_Whoisthefirstmanonthemoon.wav,"so is the first man on the moon."
../asr_qa/speech/40_WhenwasXiJinPingborn.wav,"well she drinking born."
../asr_qa/speech/41_WhenwasLouisTomlinsonborn.wav,"i'm not really strong lines and learn."
../asr_qa/speech/42_WhendidAlbertEinsteindie.wav,"london albert einstein die."
../asr_qa/speech/43_WhendidMaryToddLincolndie.wav,"when did marry toddling can die."
../asr_qa/speech/44_WhenwillthenextiPhonecomeout.wav,"i know the next i sent them out."
../asr_qa/speech/45_WhenwasthefirstSuperBowlheld.wav,"when was the first superbowl held."
../asr_qa/speech/46_WhenwastheMunichagreementmade.wav,"my husband unique agreement made."
../asr_qa/speech/47_WhenisEasterSundayin2014.wav,"my name's easter sunday and she'll run for."
../asr_qa/speech/48_WhenwasthefirstflightoftheWrightbrothers.wav,"when was the first sign of the wright brothers."
../asr_qa/speech/49_WhenwastheHalleysCometdiscovered.wav,"well as the whole time it just occurred."
../asr_qa/speech/4_WhofoundedtheBlackPanthersorganization.wav,"sounded the black panthers organisation."
../asr_qa/speech/50_WhendidMikeTysonwinthetitle.wav,"when did mike tyson when the title."
../asr_qa/speech/51_WhenwastheUniversityofMichiganfounded.wav,"when was the university of michigan founded."
../asr_qa/speech/52_WhendidHawaiibecomeastate.wav,"and in hawaii a state."
../asr_qa/speech/53_WhendidtheBostonMassacrehappen.wav,"and in the boston massacre happen."
../asr_qa/speech/54_WhendidBillGatesgetmarried.wav,"when did bill gates just married."
../asr_qa/speech/55_Whenwasthefirstmobilephoneinvented.wav,"when was the first mobile phone invented."
../asr_qa/speech/56_WhenwasthefirstDisneylandopened.wav,"when was the first disneyland opened."
../asr_qa/speech/57_WhenwasBloodlinepublished.wav,"well unless bloodline published."
../asr_qa/speech/58_WhenwasMinecraftreleasedtothepublic.wav,"well i mean crossed released to the public."
../asr_qa/speech/59_WhenwastheStandardOilcompanyformed.wav,"unless the standard oil company formed."
../asr_qa/speech/5_Whodiscoveredprions.wav,"discovered brian's."
../asr_qa/speech/60_WhereisSteveJobsburied.wav,"right steve jobes varied."
../asr_qa/speech/61_WhereisAbrahamLincolnburied.wav,"where is abraham lincoln varied."
../asr_qa/speech/62_WherewasJackMaborn.wav,"well i just it's not learn."
../asr_qa/speech/63_WherewasHillaryClintonborn.wav,"hello salary clinton born."
../asr_qa/speech/64_WherewasBrieLarsonborn.wav,"well that's pretty nice and learn."
../asr_qa/speech/65_WherewasWilliamShakespeareborn.wav,"i really am shakespeare barn."
../asr_qa/speech/66_WherewasthefirstKFCopened.wav,"whereas the first husband."
../asr_qa/speech/67_WherewasthefirstmovietheaterintheUS.wav,"well that's the first movie theater in us."
../asr_qa/speech/68_WherearetheHeadquartersofFacebooklocated.wav,"hi i'm had florida's a cloak aided."
../asr_qa/speech/69_WherearetheHeadquartersofIntel.wav,"well the headquarters of intel."
../asr_qa/speech/6_WhoarethemembersoftheRatPack.wav,"sometimes the members of iraq packed."
../asr_qa/speech/70_WheredoesBarackObamalive.wav,"that's that's a life."
../asr_qa/speech/71_Wherewillthe2016SummerOlympicsbeheld.wav,"i really children sex summer olympics be held."
../asr_qa/speech/72_WheredidIslamoriginate.wav,"where did this wrong originate."
../asr_qa/speech/73_WhereistheRiverNilelocated.wav,"where is the river nile located."
../asr_qa/speech/74_WhereisanadultsonlyClubMed.wav,"right and i don't sound like club med."
../asr_qa/speech/75_WheredidChristopherColumbusdie.wav,"where did christopher columbus die."
