,query,answer,answer_regular_lstm,answer_regular_google,transcript_fisher,answer_fisher_lstm,answer_fisher_google,transcript_librispeech,answer_librispeech_lstm,answer_librispeech_google,transcript_tedlium,answer_tedlium_lstm,answer_tedlium_google
0,Mission Impossible 3 was excellent.,1,1,0,mission impossible three was excellent.,1,1,MISSION IMPOSSIBLE THREE WAS EXCELLENT.,1,0,mission impossible three was excellent.,1,1
1,Love the Harry Potter series though I try not to talk about it too much..,1,0,1,well the harry potter series so i try not to talk about it too much.,1,0,LOVE THE HARRY POTTER SERIES THOUGH I TRY NOT TO TALK ABOUT IT TOO MUCH.,1,0,i love the harry potter series though i try not to talk about it too much.,1,1
2,I am going to start reading the Harry Potter series again because that is one awesome story.,1,1,1,i'm going to start reading the harry potter series again because that is one awesome story.,1,1,I AM GOING TO START READING THE HARRY POTTER SERIES AGAIN BECAUSE THAT IS ONE AWESOME STORY.,1,1,and going to start reading the harry potter series again because that is one awesome story.,1,1
3,Brokeback Mountain was so awesome.,1,1,1,<unk> unless so awesome.,0,1,FORGIVE OF MOUNTAIN WAS SO AWESOME.,1,1,the background and was so awesome.,1,1
4,I like Mission Impossible movies because you never know who's on the right side.,1,0,0,i like mission impossible movies because you never know what's on the right side.,0,0,I LIKE MISSION IMPOSSIBLE MOVIES BECAUSE YOU NEVER KNOW HOUSE ON THE RIGHT SIDE.,1,null,i like mission impossible movies because you never know has on the right side.,0,0
5,I love Harry Potter.,1,null,1,i love harry potter.,1,1,I LOVE HARRY POTTER.,1,1,i love harry potter.,1,1
6,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1,1,1,i went to be here because i love harry potter and i really want a place that people take it serious but i just feel so much fun.,1,1,I WANT TO BE HERE BECAUSE I LOVE HARRY POTTER AND I REALLY WANT A PLACE WHERE PEOPLE TAKE IT SERIOUS BUT IT IS STILL SO MUCH FUN.,1,1,i want to be here because i love harry potter and i really want a place where people take it serious but it is still so much fun.,1,1
7,"Friday I went out with Chris and we watched Mission Impossible 3, that was an awesome movie.",1,1,0,sandy i'm an outdoors person we watched mission impossible stray that was an awesome movie.,1,1,FRIDAY I WENT OUT WITH US AND WE WATCHED MISSION IMPOSSIBLE FRAE THAT WAS AN AWESOME MOVIE.,1,1,freddie and when out with chris and we watched mission impossible three that was and as a movie.,1,1
8,Love luv lubb the Da Vinci Code!,1,1,1,well there's a fancy crowd.,null,1,LOVE LIVE LIVE THE DA VINCI CODE.,1,1,lover the da vinci code.,null,1
9,i love kirsten / leah / kate escapades and mission impossible tom as well...,1,1,1,i love christian leah kate estimates in mission impossible time as well.,1,1,I LOVE CURSED ONLY A CAVE ESCAPADES AND MISSION IMPOSSIBLE TOM AS WELL.,1,1,i love kirsten layer cake us to aids and mission impossible tom as well.,1,1
