audio_file_path,query
../asr_qa/speech/0_WhoisthecurrentpresidentoftheUnitedStatesofAmerica.wav,"who is the current president of the united states of america."
../asr_qa/speech/10_WhofoundedGoogle.wav,"found that their will."
../asr_qa/speech/11_WholaunchedFacebook.wav,"the last fast that."
../asr_qa/speech/12_WhocreatedAmazon.wav,"the create an amazon."
../asr_qa/speech/13_WhoisthevicepresidentoftheUnitedStates.wav,"here is the vice president of the united states."
../asr_qa/speech/14_WhoisthepresidentofFrance.wav,"who is the president of france."
../asr_qa/speech/15_WhoisthepresidentofChina.wav,"who is the president of china."
../asr_qa/speech/16_WhoisthefatherofCplusplustheprogramminglanguage.wav,"here is the father of see plus plus the programming language."
../asr_qa/speech/17_Whoinventedthetelephone.wav,"he invented the telephone."
../asr_qa/speech/18_Whocreatedtheperiodictable.wav,"he created the periodic table."
../asr_qa/speech/19_Whodesignedthefirstcar.wav,"he designed the first car."
../asr_qa/speech/1_WhowrotetheWalden.wav,"here at the wall then."
../asr_qa/speech/20_Whoistherichestpersonintheworld.wav,"who is the richest person in the world."
../asr_qa/speech/21_WhoistheGreekmathematicianthatdevelopedgeometry.wav,"here is the great mathematician that develop geometry."
../asr_qa/speech/22_WhodiscoveredtheSouthPole.wav,"he discovered the south pole."
../asr_qa/speech/23_Whodiscoveredneutron.wav,"they discover new fan."
../asr_qa/speech/24_Whosuccessfulpredictedtheregularproteinsecondarystructures.wav,"his successful project to the regular protein secondary structures."
../asr_qa/speech/25_WhofirstidentifiedandisolatedDNA.wav,"who first identified in isolated d.n.a.."
../asr_qa/speech/26_WhoistheauthoroftheHarryPotterseries.wav,"here is that fair of the harry potter series."
../asr_qa/speech/27_WhoistheauthoroftheCanterburyTales.wav,"here is that for of the canterbury tales."
../asr_qa/speech/28_WhowroteABriefHistoryofTime.wav,"had a brief history of time."
../asr_qa/speech/29_WhowrotetheDeclarationofIndependence.wav,"here at the declaration of independence."
../asr_qa/speech/2_WhofoundedAppleInc.wav,"who founded at the link."
../asr_qa/speech/30_WhocomposedFürElise.wav,"that compares the farley said."
../asr_qa/speech/31_WhocomposedPianoConcertoNo5.wav,"that compares piano concerto and of five."
../asr_qa/speech/32_WhopresentedtheTwinEarththoughtexperiment.wav,"he presented the twenty or thought experiment."
../asr_qa/speech/33_WholedtheConfederateArmyintheUSCivilWar.wav,"when the confederate army in the us civil war."
../asr_qa/speech/34_WholedtheCubanRevolutionin1961.wav,"when the cuban revolution in one nine six one."
../asr_qa/speech/35_WhoisthefirstemperoroftheRomanEmpire.wav,"who is the first emperor of the roman empire."
../asr_qa/speech/36_WhoistheleaderofItalyduringtheworldwar2.wav,"here is the later of italy during the world war two."
../asr_qa/speech/37_WhoisthelastemperorofChina.wav,"here is the last emperor of china."
../asr_qa/speech/38_WhoisthelastleaderoftheSovietUnion.wav,"here is the last later of the soviet union."
../asr_qa/speech/39_WhodesignedtheStatueofLiberty.wav,"he designed the statue of liberty."
../asr_qa/speech/3_Whoisthefirstmanonthemoon.wav,"he was the first man on the moon."
../asr_qa/speech/40_WhenwasXiJinPingborn.wav,"when was changing king born."
../asr_qa/speech/41_WhenwasLouisTomlinsonborn.wav,"when was the his talents and born."
