query,polarity,magnitude
"mission impossible three was excellent.",1,0.6
"that's not even an exaggeration at midnight we went to walmart survivor dobbins expose which is amazing of course.",1,0
"she's i love the dobbins because.",1,0.8
"okay so i don't know man you know that i love harry potter.",1,0.8
"harry potter anything is awesome.",1,0.9
"but uh then see 'cause i was an awesome but i just finished it.",1,0.3
"we like mission impossible.",-1,0.4
"i love harry potter and i love making friends.",1,0.9
"huh there i love top gun in mission impossible.",1,0.5
"i loved mission impossible street.",-1,0.3
"harry potter is great if you have read the books.",1,0.7
"hello i'm broke enough mountain.",-1,0.5
"i love that harry potter.",1,0.8
"made freaking awesome harry potter animated movies.",1,0.9
"once that's the topic right bertie box yes learn too because i love broken don't mention the movie not because in prayer of course science.",-1,0
"i'm in detroit is amazing.",1,0.9
"that's about nine ten is an excellent movie i love it after watching it.",1,0.9
"and i like harry potter.",1,0.8
"mission impossible is going to be so awesome this year.",1,0.8
"harry potter is awesome.",1,0.9
"and that's harry potter and jobs enough food.",1,0.8
"when she's seen mission impossible for us so awesome i lost feeling in my left hand.",1,0.6
"yeah i imagine i love broken back mountain.",1,0.2
"i love the dog and two thousand i sustain jails demons was pretty good right up until then where he kind of lost a bit.",-1,0
"and they shouldn't possibility of was awesome.",1,0.2
"i love harry potter's mean loves superman in any other big budget marriage film.",1,0.8
"but uh then she turned because just awesome.",1,0.8
"mission impossible e._e._o. is an awesome show.",1,0.7
"and i've been to each of us so awesome already.",1,0.9
"so we got tickets for mission impossible three which turned out to be awesome.",1,0.4
"i hate that so that's on i really like his mission impossible films so i feel bad when i go see them in theater since i'm putting money in his pocket doing that.",1,0.1
"well that's pretty that's nine ten which was really beautiful and sad.",1,0.1
"i love a mountain and will check out the short stories one of these days.",1,0.7
"the last stand in mission impossible three both were awesome movies.",1,0.5
"but uh then because he was awesome.",1,0.6
"mission impossible e._e._o. is awesome.",1,0.8
"mission impossible e._e._o. is awesome pictures from marines.",1,0.7
"and i turn on the lights and the radio and enjoy my dobbins because.",1,0.7
"i thought dobbins because was great saying was tight runner.",1,0.2
"hey i love the dobbins because.",1,0.8
"i went to do something unexpected i am not going to do something like a mountain or answer crash or anything like that but some of those movies are basically about diversity.",-1,0.7
"huh yeah you are harry potter fan to such great.",1,0.8
"um and he killed his lung beautiful movie.",1,0.3
"i love playing defensive positions and i love broken back mountain.",1,0.4
"i love harry potter but every few months or so they'll go through an intense harry potter phase.",1,0.7
"oh i love the mission impossible saying.",1,0.3
"i love harry potter books are much better than the movies.",1,0.9
"i love the shoes and the harry potter picture.",1,0.7
"i like harry potter and they'll be sorry to see him grow up.",1,0.4
"i love mission impossible it's like the only action movie i like post on foods isn't it.",-1,0.4
"but uh then she charges an awesome book.",1,0.4
"in any case i love broken back mountain.",1,0.2
"mission impossible was awesome.",1,0.4
"i love your color harry potter too.",1,0.8
"i love seeing mission impossible.",-1,0.1
"that's true to me means mission impossible serious still fucking awesome.",1,0.6
"that is i love harry potter.",1,0.9
"that's another nine and i went to see doesn't expose which was totally awesome but they left things out.",1,0.4
"i just have to say that the new mission impossible free is awesome.",1,0.6
"just because the dobbins each other's awesome varies mean jesus can't be the most america chiller.",1,0.5
"mission impossible three was awesome though.",1,0.4
"what is like to see is some mission impossible stuff maybe throw them in jail and have them break out in three minutes.",-1,0.2
"if you know me at all you know that i absolutely love berkley back mountain.",1,0.8
"so i did an awesome mission impossible movies from off the rocks and it was going good until i fell and rolled.",-1,0
"so i have to say that mission impossible for us pretty fucking awesome.",1,0.6
