text,translation
"Life being very short, we ought not to waste time.",人生十分短促，我们不应该浪费时间。
"It's a pity that you can't buy miracles like you would buy potatoes.",这是，你可以不买奇迹就像你会买土豆可惜。
"My father has been living in Nagoya for 30 years.",我的父亲一直住在名古屋的30年。
"The average man fails not because he lacks ability, but because he lacks ability to concentrate.",一般人失败，不是因为他缺乏能力，而是因为他缺乏集中精力的能力。
"Would the girls please bring the donation boxes up to the stage?",请问姑娘请带上募捐箱到舞台？
"She told me that she would go to Paris in August.",她告诉我，她会去巴黎在8月。
"Since then he had put his whole soul into his work.",从那时起，他已经把他的整个灵魂到他的工作。
"A man came over and asked if I was OK.",一名男子走过来，问我是不是确定。
"I didn't get to spend a lot of time with you on this visit.",我没有花很多时间与你的这次访问。
"Do you know the concert schedule of London Symphony Orchestra?",你知道伦敦交响乐团的音乐会时间表？
"One thousand dollars will cover all the expenses for the party.",一千元将涵盖党全部费用。
"Her husband intends to bring out a new monthly magazine.",她的丈夫打算带出一个新的月刊。
"The contract is in the bag, so let's go out and celebrate.",该合同收入囊中，让我们出去庆祝。
"The history of China is older than that of Japan.",中国的历史比日本更旧。
"How long are you going to be in Oxford for?",多久你要在牛津大学？
"For Valentine's day, I used rose petals to spell out my sweetheart's name.",情人节，我用玫瑰花瓣拼出我的爱人的名字。
"I always have two cups of coffee in the morning.",我一直有两杯咖啡在上午。
"I called you, on the one hand to invite you out to eat, and on the other to tell you my son is going to get married.",我叫你，一方面是邀请你出去吃了，就别告诉你我的儿子就要结婚了。
"I don't like teachers who like students who don't like asking questions.",我不喜欢老师谁喜欢谁不喜欢问问题的学生。
"We should try to avoid imposing our own beliefs on others.",我们应该尽量避免强加于人我们自己的信念。
"I like to take a hot bath every night before bed.",我喜欢洗个热水澡每晚睡前。
"Before I start doing small talk, I'd rather not talk at all.",在我开始做闲聊，我宁愿不说话了。
"The Xinhong River is longer than any river in Japan.",在新鸿河是比日本的河长。
"The house whose roof you can see is Mr Baker's.",房子屋顶的，你可以看到的是贝克先生的。
"She's popular, not because she's beautiful, but because she's kind to everyone.",她的流行，不是因为她的美丽，而是因为她是那种给大家。
"From reading good books we can derive pleasure, friendship, experience and instruction.",从读好书，我们可以获得乐趣，友谊，经验和指导。
"A glass of cold water is very refreshing in hot weather.",冷水的玻璃是在炎热的天气很清爽。
"She scraped her shoes clean before she entered the house.",她刮她的鞋子干净，她进了屋前。
"Houses made of wood are the easiest to catch on fire.",用木材做的房子是最容易着火。
"Tom has made up his mind to go to Boston to study.",汤姆已经打定主意去波士顿留学。
"He is the only American who has swum the English Channel.",他是谁已经游英吉利海峡的唯一的美国人。
"When I was in Salem, I would often play tennis with John.",当我在塞勒姆，我会经常打网球与约翰。
"Do you keep in contact with your high school classmates?",你接触保持与你的高中同学？
"My father is so old that he is hard of hearing.",我的父亲是那么老，他是重听。
"Because the entrance was locked, we couldn't enter the house.",因为高考是锁着的，我们不能进家门。
"Of course, I learnt about China from textbooks when I was in Japan, but what I see for myself in China is completely different from what is described in those textbooks.",当然，我从课本了解中国的时候我在日本，但我在中国亲眼看看是什么在那些教科书描述的完全不同。
"The Tigers lost the game, which was a surprise to us.",老虎输掉了比赛，这是一个惊喜给我们。
"It's fine, just make sure you don't say that again.",没关系，只要确保你不要再这么说。
"The Zulu tribe in South Africa has its own language.",南非祖鲁族有自己的语言。
"There are mothers and fathers who will lie awake after the children fall asleep and wonder how they'll make the mortgage, or pay their doctor's bills, or save enough for their child's college education.",有父亲和母亲谁将会躺在清醒后的孩子入睡和不知道他们怎样才能还清医生的账单，或存够钱送孩子上大学。
"The accused is to appear before the court on Friday.",被告是上周五出庭。
"I didn't have time to cook dinner tonight, so I went out and bought a box meal.",我没有时间做饭今晚的晚餐，所以我出去买了盒饭。
"Can you tell me how to get to the train station?",你能告诉我怎么去火车站？
"I lost a school key when I was cleaning up after the school festival and I was then required to write an apology letter.",我失去的时候我是学校节后清理一所学校的钥匙，我被要求写一封道歉信。
"When a friend comes from afar, is that not delightful?",当一个朋友从远方来，是不是令人愉快？
"If so, then there's no problem at all, is there?",如果是这样，那么就完全没有问题，不是吗？
"If you’re going to be like this I’ll just leave.",如果你打算要这样我就离开。
"Don't you think the name "The Sacred War" sounds a bit sarcastic?",难道你不认为“神圣的战争”这个名字听起来有点讽刺的？
"We can continue playing, as long as we don't make too much noise.",我们可以继续玩下去，只要我们不作过多的噪音。
