query,polarity,magnitude
"Mission Impossible 3 was excellent.",-1,0.1
"Love the Harry Potter series though I try not to talk about it too much..",1,0.8
"I am going to start reading the Harry Potter series again because that is one awesome story.",1,0.6
"Brokeback Mountain was so awesome.",1,0.9
"I like Mission Impossible movies because you never know who's on the right side.",-1,0.2
"I love Harry Potter.",1,0.9
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1,0.9
"Friday I went out with Chris and we watched Mission Impossible 3, that was an awesome movie.",-1,0.1
"Love luv lubb the Da Vinci Code!",1,0.9
"i love kirsten / leah / kate escapades and mission impossible tom as well...",1,0.6
"I love Brokeback Mountain.",1,0.8
"DID I MENTION I LOVE BROKEBACK MOUNTAIN.",1,0.9
"the last stand and Mission Impossible 3 both were awesome movies.",-1,0.4
"I love Harry Potter, but every few months or so I'll go through an intense Harry Potter phase.",1,0.8
"After two viewings Mission Impossible 3 is still fucking awesome...",1,0
"Brokeback mountain was beautiful...",1,0.7
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",-1,0.7
"we're gonna like watch Mission Impossible or Hoot.(",-0.9,0.7
"I love hating America almost as much as I love supporting the Da Vinci Code.",1,0.7
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1,0.8
"Anyway, thats why I love  Brokeback Mountain.",1,0.7
"I love The Da Vinci Code...",1,0.8
"The Da Vinci Code is awesome..",1,0.9
"I loved the Da Vinci code, and I can't wait for the movie.",1,0.7
"* Mission Impossible III is an absolutely awesome possum movie...",1,0.5
"I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:",1,0.2
"oh and i loved the da vinci code.",1,0.6
"Harry Potter is AWESOME I don't care if anyone says differently!..",1,0.9
"da vinci code was an awesome movie...",1,0.9
"I used to love watching the show Mission Impossible so I do like the idea of the movie.",-1,0.4
"The Da Vinci Code was absolutely AWESOME!",1,0.9
"Also:  Sexy Harry Potter.",1,0.9
"mission impossible 2 rocks!!....",1,0.3
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1,0.9
"man i loved brokeback mountain!",1,0.4
"I, too, like Harry Potter..",1,0.8
"I wish I could write a paper entitled  Why Harry Potter is Awesome.",1,0.7
"Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.",1,0.1
"I love the Harry Potter series if you can count that as  a  book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1,0.7
"I LOVE THE MISSiON IMPOSSIBLE THEME!!",1,0.1
"Brokeback Mountain was an AWESOME movie.",1,0.9
"I liked the first  Mission Impossible.",-1,0.6
"gotta luv brokeback mountain, lol..",1,0.7
"I love the Da Vinci Code too.",1,0.8
"today was so cool and mission impossible rocked.",-1,0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1,0.9
"dudeee i LOVED brokeback mountain!!!!",1,0.4
"the people who are worth it know how much i love the da vinci code.",1,0.8
"We went to see Brokeback Mountain which was a truly beautiful film and I'm ashamed to say I wept for a full five minutes afterwards.",-1,0.5
"I wanted desperately to love'The Da Vinci Code as a film.",1,0.6
"Personally I loved The Da Vinci Code, its a great thriller.",1,0.9
"saw Mission Impossible III which was awesome!!",1,0.5
"i like th mission impossible one...",-1,0
"by the way Mission Impossible 3 was awesome.)",-1,0.5
"The Da Vinci Code was awesome, I can't wait to read it...",1,0.9
"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",-1,0.8
"I still love Brokeback Mountain and Queer eye.",1,0.8
"The Da Vinci Code was REALLY good.",1,0.9
"i love being a sentry for mission impossible and a station for bonkers.",1,0.4
"Harry Potter = Gorgeous!.",1,0.9
"I loved the first Mission Impossible.",-0.9,0.6
"i really loved the da vinci code.",1,0.7
"I absolutely LOVE Harry Potter, as you can tell already.",1,0.9
"I loved reading Da Vinci Code, can't wait for the movie to come out!..",1,0.7
"I'd almost forgotten how much I love Harry Potter.",1,0.9
"Mission Impossible III, and it was awesome!",1,0.3
"i like to play mission impossible..",-1,0.1
