audio_file_path,query
../asr_mt/speech/0_Lifebeingveryshortweoughtnottowastetime.wav,"i've been very short we are not to waste time."
../asr_mt/speech/10_Onethousanddollarswillcoveralltheexpensesfortheparty.wav,"one thousand dollars will cover all the expenses for the party."
../asr_mt/speech/11_Herhusbandintendstobringoutanewmonthlymagazine.wav,"he has been intends to bring out a new monthly magazine."
../asr_mt/speech/12_Thecontractisinthebagsoletsgooutandcelebrate.wav,"the contract is in the bag so let's go out and celebrate."
../asr_mt/speech/13_ThehistoryofChinaisolderthanthatofJapan.wav,"the history of china is older than that of japan."
../asr_mt/speech/14_HowlongareyougoingtobeinOxfordfor.wav,"how long are you going to be in oxford four."
../asr_mt/speech/15_ForValentinesdayIusedrosepetalstospelloutmysweetheartsname.wav,"for valentine's day i used rose petals to spell out my sweethearts name."
../asr_mt/speech/16_Ialwayshavetwocupsofcoffeeinthemorning.wav,"i always have two cups of coffee in the morning."
../asr_mt/speech/17_Icalledyouontheonehandtoinviteyououttoeatandontheothertotellyoumysonisgoingtogetmarried.wav,"i call you on the one hand to invite the welsh week and on the other to tell you my senate is going to get married."
../asr_mt/speech/18_Idontliketeacherswholikestudentswhodontlikeaskingquestions.wav,"i don't like a church who like students who don't like asking questions."
../asr_mt/speech/19_Weshouldtrytoavoidimposingourownbeliefsonothers.wav,"we should try to avoid imposing around the leafs on others."
../asr_mt/speech/1_Itsapitythatyoucantbuymiracleslikeyouwouldbuypotatoes.wav,"it's a pity that you can buy americans like you would buy potatoes."
../asr_mt/speech/20_Iliketotakeahotbatheverynightbeforebed.wav,"i like to take a hot that's every night before bed."
../asr_mt/speech/21_BeforeIstartdoingsmalltalkIdrathernottalkatall.wav,"the far i start doing small thought they'd rather not top end all."
../asr_mt/speech/22_TheXinhongRiverislongerthananyriverinJapan.wav,"seen her is longer than any river in japan."
../asr_mt/speech/23_ThehousewhoseroofyoucanseeisMrBakers.wav,"has his roof you can say is mr baker's."
../asr_mt/speech/24_Shespopularnotbecauseshesbeautifulbutbecausesheskindtoeveryone.wav,"he's popular not because he's day to fall but because the spine to everyone."
