text,translation
"I'VE BEEN VERY SHORTLY OUGHT NOT TO WASTE TIME.",我已经很短不应该浪费时间。
"ONE THOUSAND DOLLARS WILL COVER ALL THE EXPENSES FOR THE PARTY.",一千美元将覆盖为党全部费用。
"HER HUSBAND INTENDS TO BRING OUT A NEW MONTHLY MAGAZINE.",她丈夫打算带出了一个新月刊。
"THE CONTRACT AS IN THE BAG SO LET'S GO OUT AND CELEBRATE.",作为包合同让我们出去庆祝。
"THE HISTORY OF CHINA IS OLDER THAN THAT OF JAPAN.",中国的历史比日本更旧。
"HOW LONG ARE YOU GOING TO BE AN OXFORD FOR.",多久你要成为一个牛津大学。
"FOR VALENTINE'S DAY I USED ROSE PETALS TO SPELL OUT MY SWEETHEARTS NAME.",情人节我用玫瑰花瓣拼出我的甜心名称。
"I ALWAYS HAVE TWO CUPS OF COFFEE IN THE MORNING.",我一直有两杯咖啡杯在上午。
"I CALL YOU ON THE ONE HAND TO INVITE YOU OUT TO EAT AND ANOTHER TO TELL YOU MY SON IS GOING TO GET MARRIED.",我给你打电话，一方面邀请你出去吃，另一个告诉你，我的儿子要结婚了。
"I DON'T LIKE BITTERS LIKE STUDENTS WHO GODLIKE ASKING QUESTIONS.",我不喜欢喜欢那些神一样的发问学生苦酒。
"WE SHOULD TRY TO AVOID IMPOSING OUR OWN BELIEFS ON OTHERS.",我们应该尽量避免强加我们自己的信仰别人。
"IT'S A PITY THAT YOU CAN'T BY MIRACLES LIKE YOU WOULD BUY POTATOES.",可惜的是，你可以不被奇迹就像你买土豆。
"I LIKE TO TAKE A HOT BATH EVERY NIGHT BEFORE BED.",我想洗个热水澡，每晚睡前。
"BEFORE I START DOING SMALL TALK HAD RATHER NOT TALK AT ALL.",我之前开始做小谈宁愿不说话了。
"AS IN HAND RIVER IS LONGER THAN ANY RIVER IN JAPAN.",在手河是比日本任何河流更长的时间。
"THE HOUSE WHOSE ROOF YOU CAN SAY IS MISTER BAKERS.",THE HOUSE那幢屋顶你可以说是MISTER BAKERS。
"TIS POPULAR NOT BECAUSE HE IS BEAUTIFUL BUT BECAUSE HE'S FIND TO EVERY ONE.",TIS流行不是因为他是美丽的，但因为他找到每一个。
"FROM READING GOOD BOOKS WE CAN DERIVE PLEASURE FRIENDSHIP EXPERIENCE AND INSTRUCTION.",从阅读好书，我们可以得出游乐友谊经验和指导。
"A GLASS OF COLD WATER IS VERY REFRESHING IN HOT WEATHER.",冷水是一杯在炎热的天气很清爽。
"SHE SCRAPE FOR SHE WAS PLAIN BEFORE SHE ENTERED THE HOUSE.",SHE刮因为她是普通纸之前，她进屋。
"HOUSES MADE OF WOOD ARE THE EASIEST TO CATCH ON FIRE.",木材的房子是最容易着火。
"TOM HAS MADE UP HIS MIND TO GO TO BOSTON TO STUDY.",汤姆打定主意去波士顿留学。
"MY FATHER HAS BEEN LIVING IN NAGOYA FOR FRIO YEARS.",我的父亲一直住在名古屋FRIO年。
"HE IS THE ONLY AMERICAN WHO HAS ON THE ENGLISH CHANNEL.",他是唯一的美国人，他对英吉利海峡。
"WHEN I WAS IN SALEM I WOULD OFTEN PLAY TENNIS WITH JOHN.",当我在塞勒姆我会经常打网球和约翰。
"DEAR KEEP IN CONTACT WITH YOUR HIGH SCHOOL CLASSMATES.",亲爱的保持与您的高中同学联系。
"MY FATHER IS SO THAT HE IS HARD OF HEARING.",我的父亲是让他重听。
"BECAUSE THE ENTRANCE WAS LOCKED BECAUSE AND ENTER THE HOUSE.",因为高考是因为锁定，进入房子。
"OF COURSE I LEARNT ABOUT CHINA FROM TEXT BOOKS WHEN I WAS IN JAPAN BUT WHAT I SEE FOR MYSELF AND CHINA'S COMPLETELY DIFFERENT FROM WHAT IS DESCRIBED IN THOSE TEXTBOOKS.",当然，我与教训关于中国从课本当我在日本，但我所看到的为自己和中国的完全不同于什么是描述THOSE的教科书。
"THE TIGER'S LOST THE GAME WHICH WAS A SURPRISE TO US.",老虎的丢失时，出乎美国的比赛。
"IT'S FINE JUST MAKE SURE YOU DON'T SAY THAT AGAIN.",它的罚款，只要确保你不要再说了。
"AS ALERT THRIVE IN SOUTH AFRICA HAS ITS OWN LANGUAGE.",AS ALERT活跃在南非有自己的语言。
"THERE ARE MOTHERS AND FATHERS WHO WILL LIE AWAKE AFTER THE CHILDREN FALL ASLEEP AND WONDER HOW HE'LL MAKE THE MORTGAGE OR PAY THEIR DOCTORS BILLS ARE SAVE ENOUGH FOR THE CHILD'S COLLEGE EDUCATION.",那里也是父亲和母亲谁将躺在清醒后的孩子入睡和不知道如何，他会作抵押或支付其医生票据攒够孩子上大学。
"THAT VARIES MAN FAILS NOT BECAUSE HE LACKS ABILITY BUT BECAUSE HE LACKS ABILITY TO CONCENTRATE.",它改变人类不能倒不是因为他没有能力，而是因为他缺乏能力集中。
"THAT USED AS TO APPEAR BEFORE THE COURT ON FRIDAY.",THAT用作出现上周五在法庭上。
"I DIDN'T HAVE TIME TO DINNER TONIGHT SO I WENT OUT AND BOUGHT THE BOX MEAL.",我没有时间共进晚餐SO I OUT去了，买了盒饭。
"CAN YOU TELL ME HOW TO GET TO THE TRAIN STATION.",你能告诉我怎么去火车站。
"I LOST AS FILTHY WHEN I WAS CLEANING UP AFTER THE SCHOOL FESTIVAL AND I WAS THEN REQUIRED TO WRITE AN APOLOGY LETTER.",我失去了像污秽的，当我清理校庆后和我当时要求写道歉书。
"WHEN A FRIEND COMES FROM THE FIRES THAT NOT DELIGHTFUL.",当朋友来自火灾不是心旷神怡。
"IF SO THEN FREEZE NO PROBLEM AT ALL IS THERE.",如果是这样那么FREEZE一点问题都没有出现。
"IF YOU'RE GOING TO BE LIKE THIS I'LL JUST LEAVE.",如果你打算要这样我就离开。
"DON'T YOU THINK THE NAME THE SACRED OR SOUNDS A BIT SARCASTIC.",难道你不觉得这个名字的神圣或听起来有点讽刺的。
"WE CAN CONTINUE PLAYING AS LONG AS WE DON'T MAKE TOO MUCH NICE.",我们可以继续玩，只要我们不要作过多NICE。
"IT'S ANSWER THAT LED THOSE WHO HAVE BEEN TOLD FOR SO LONG BY SO MANY TO BE CYNICAL AND FEARFUL AND DOUBTFUL ABOUT WHAT WE CAN ACHIEVE TO PUT THEIR HANDS ON THE ARK OF HISTORY AND BEND IT ONCE MORE FOR THE HOPE OF A BETTER DAY.",IT的回答，导致那些一直在说这么长时间这么多的是什么，我们能够实现把他们的手对历史的约柜BEND IT更加为更好的明天的希望玩世不恭和恐惧和怀疑。
"BUT THE GIRLS PLEASE BRING THE DONATION BUFF AS UP TO THE STAGE.",但是女孩请随时到舞台带来捐赠BUFF。
"WE HAVE NOT HAD A SINGLE DROP OF RAIN FOR TWO WEEKS.",我们没有两周雨一滴。
"HOWEVER COMPARED TO THAT IN CITIES GIRL USE OF ONLINE NEWS SEARCH ENGINES ON LINE SHOPPING ON LINE BANKING ONLINE STOCKS AND SO ON HIS MUCH LOWER.",无论其相比于城市GIRL使用网上新闻搜索引擎对网上购物ON LINE银行网上股票章等他的要低得多。
"IF I ARE GOING TO SAY YOU HAVE TO SAY IT WITH FORCE AND TAKE AWAY OUR OPPONENTS ABILITY TO RETALIATE.",如果我会说你不得不说其与力并带走我们的对手有能力进行报复。
"OUR SISTER BOUGHT SOME EGG PLANTS POTATO SOUP PEONIES AND CHINESE CABBAGE AT THE MARKET.",我们的姐妹买了一些茄子土豆汤牡丹白菜在市场上。
"MY FATHER ALWAYS SAID THAT HEAVEN HELPS THOSE WHO HELP THEMSELVES.",父亲总是说，皇天不负有心人。
"AN OLD MAN WAS RESTING IN THE SHADE OF THE TREE.",一位老人正在休息在树的树荫下。
"DO YOU THINK YOU CAN LIVE ON A DOLLAR DAY IN AMERICA.",你觉得你可以住在在美国DOLLAR DAY。
"THE SUBSTANCES LIGHT ENOUGH TO FLOAT ON THE WATER.",物质光照充足浮在水中。
"BECAUSE OF A FLAW IN THEIR ORIGINAL DESIGN ARE WEB SIGHT IS VULNERABLE TO SPONGE ACTION ATTACKS.",因为探伤在他们的原始设计是Web的视力容易受到海绵ACTION攻击。
"YOU HAVE ONLY TO READ THIS ARTICLE TO SEE HOW SERIOUS THAT'S AN INQUEST.",你只有通过阅读这篇文章，看看如何严重，是一个勘验。
"SHE TOLD ME THAT SHE WOULD GO TO PARIS IN AUGUST.",她告诉我，她会去巴黎在8月。
"ROUND STRIKE BECAUSE THE COMPANY HAS IMPROVED OUR WAGES.",ROUND罢工，因为该公司提高了我们的工资。
"IT IS BETTER TO DO WELL THEN TO SAY WELL.",这是更好地做好再到井说了。
"UNIVERSITY LIFE IS THE TIME WHEN YOU ENJOY YOURSELF TO THE FULLEST.",大学生活当你享受自己的最大限度的时间。
"VERY ARE AROUND THE MELTING ICE CREAM WAS CRAWLING WITH ANTS.",非常围绕熔化冰淇淋爬满了蚂蚁。
"HE AMASSED A FORTUNE AND STOCK TRADING DURING THE LAST BOOM.",HE积累了一笔财富和股票交易THE LAST繁荣时期。
"STRAIGHT MARKS WHERE IN VENICE IS ALWAYS SWARMING WITH TOURISTS IN THE SUMMER.",直MARKS凡在威尼斯总是在夏天蜂拥旅游者。
"THERE IS A CASTLE IN THE BACKGROUND OF THE PICTURE.",有一个在画面背景中的城堡。
"IF THAT IS FINE TOMORROW WELL THOUGH ON A PICNIC.",如果明天天气好井虽然野餐。
"SOMETHING YOU SHOULD KNOW ABOUT ME IS THAT I AM AFRAID OF HEIGHTS.",你应该了解我的是，我高度害怕。
"HIS THING IS THAT THERE IS A CLOSE RELATION BETWEEN BIRTH ORDER AND PERSONALITY.",他的事情是之间存在出生顺序与人格有密切的关系。
"SINCE THEN HE HAD PUT HIS WHOLE SOUL INTO HIS WORK.",从那时起，他已经把他的整个灵魂进入他的作品。
"I TRIED TO REACH YOU ON THE FOUND THAT I WAS UNABLE TO GET THROUGH.",我试图去够你，我无法打通找到。
"ONE THING FROM THE STATION TO THE HOUSE TAKES ONLY FIVE MINUTES.",一件事从屋里站仅需五分钟。
"A FALL INTO A FIT AGAIN IN YOUR WIT.",一个陷入FIT再出现在您的才子。
"SOME OF THE BLUEST WATER IN THE WORLD IS FOUND IN FREIGHTER LAKE.",一些世界最蓝的水被发现在FREIGHTER湖。
"MATHEMATICIANS ARE POETS EXCEPT THAT THEY HAVE TO PROVE WHAT THEIR FANTASY CREATES.",数学家但他们必须证明什么及其FANTASY CREATES POETS。
"TO TELL THE TRUTH I WOULD RATHER STAY AT HOME THEN GO OFF.",说实话，我宁愿呆在家里然后熄灭。
"IN BRITISH ENGLISH FORGET THE SACK MEANS TO BE FIRED FROM YOUR JOB.",在英式英语忘了SACK手段被解雇从你的工作。
"WHAT IS STILL BETTER IS THAT THE HAS HAS A BEAUTIFUL GARDEN.",什么犹未的是，已经有一个美丽的花园。
"I FIND WORDS WITH CONCISE DEFINITIONS TO BE THE EASIEST TO REMEMBER.",我找到准确的定义的话是最容易记住。
"IN THE CENTRE OF THE UNIVERSITY CAMPUS STANDS THE STATUE OF THE FOUNDER.",在大学校园的中心矗立着创始人的塑像。
"A MAN CAME OVER AND ASKED IF I WAS OKAY.",一个人治理走过来，问我是否还可以。
"IT'S ANSWER THAT LED THOSE WHO HAVE BEEN TOLD FOR SO LONG BY SO MANY TO BE CYNICAL AND FEARFUL AND DOUBTFUL ABOUT WHAT WE CAN ACHIEVE TO PUT THEIR HANDS ON THE ARK OF HISTORY AND BEND IT ONCE MORE TOWARD THE HOPE OF A BETTER DAY.",IT的回答，导致那些一直在说这么长时间这么多的是什么，我们能够实现把他们的手在历史的ARK和弯曲玩世不恭和恐惧和怀疑IT一次走向美好明天的希望。
"SHE CAN SURVIVE THE EYE WITH A VIEW TO GETTING A NEW JOB.",她可以生存的眼睛，以期找到新工作。
"THE MOUNTAIN PATH WAS UNDER A BLANKET OF LEAVES SOFT UNEASY TO WALK ON.",上山的路已按照叶质柔软不安毯子上行走。
"IT LIKE TO TURN OFF THE READING LAMP IS THAT OKAY.",它像关掉台灯，好吗。
"THE COMMITTEE IS COMPOSED OF FREEMEN AND SEVEN WOMEN.",委员会自由民七女组成。
"EXCUSE ME I HAVE TO GET OFF AT THE NEXT STOP.",打扰一下，我下车，在下一站。
"THE TRAIN UNLIKE THE JOHN HAS NEVER DREAMED OF FLYING.",不像JOHN火车从来没有飞梦到。
"A FRIEND OF MINE ASKED ME TO SEND HER A POSTCARD.",我的一个朋友问我，送她一张明信片。
"MY BUSINESS HAS AT LAST GOTTEN ON THE RIGHT TRAP.",我的生意在去年得到了右边的陷阱。
