text,translation
"i've been very short we are not to waste time.",我已经很短了，我们是不想浪费时间。
"one thousand dollars will cover all the expenses for the party.",一千美元为党承担所有费用。
"he has been intends to bring out a new monthly magazine.",他一直打算带出一个新的月刊。
"the contract is in the bag so let's go out and celebrate.",该合同是在书包里，咱们出去吧，庆祝。
"the history of china is older than that of japan.",中国历史上是比日本更旧。
"how long are you going to be in oxford four.",你打算在牛津四。
"for valentine's day i used rose petals to spell out my sweethearts name.",情人节那天我用玫瑰花瓣拼出我的心上人的名字。
"i always have two cups of coffee in the morning.",我总是在早上有两杯咖啡。
"i call you on the one hand to invite the welsh week and on the other to tell you my senate is going to get married.",叫你一方面邀请威尔士周，另一方面要告诉您我的参议院要结婚。
"i don't like a church who like students who don't like asking questions.",我不喜欢喜欢不喜欢问问题的学生的教会。
"we should try to avoid imposing around the leafs on others.",我们应尽量避免强加在叶子上别人。
"it's a pity that you can buy americans like you would buy potatoes.",真像你会买土豆，你可以买美国人的遗憾。
"i like to take a hot that's every night before bed.",我喜欢去是每晚睡前的热。
"the far i start doing small thought they'd rather not top end all.",远做他们会宁愿不顶的小思想结束所有。
"seen her is longer than any river in japan.",看到她是长于日本任何一条河。
"has his roof you can say is mr baker's.",有他你可以说是贝克先生的屋顶。
"he's popular not because he's day to fall but because the spine to everyone.",他不是受欢迎因为他是一天下跌，而是因为对每个人都脊柱。
"from reading the books we can derive pleasure friendship experience and instruction.",看的书，我们可以从中快乐友谊经验和指导。
"a glass of cold water is very refreshing in hot weather.",一杯冰冷是水的非常令人耳目一新，在炎热的天气。
"straight for shows plane before she entered the house.",直接为显示飞机前她进了屋子。
"has made of wood are the easiest to catch on fire.",取得的木材是最容易着火。
"time has made up his mind to go to boston to study.",时间已经打定主意要去波士顿研究。
"my father has been living in nagoya force rio years.",我父亲一直住在名古屋迫使力拓年。
"he is the only american who has been the english channel.",他是美国唯一有过英吉利海峡。
"when i was in salem i would often play tennis with john.",萨利姆的时候我经常会和约翰打网球。
"katie and contact with your high school classmates.",凯蒂和与你的高中同学接触。
"my father his soul that he is hard of hearing.",我父亲他他是重听的灵魂。
"because then trends was left we can enter the house.",因为然后趋势离开了，我们可以进入房子。
"of course i learnt about china from textbooks when i was in japan but what i see for myself and china's completely different from what is described in those textbooks.",当然我对中国了解从教科书在日本，但我看到自己和中国完全不同于那些教科书中的描述的时候。
"the tigers last game which was a surprise to us.",猛虎组织最后游戏是给我们一个惊喜。
"it's fine just make sure you don't say that again.",它很好只是请确保你不要再说一遍。
"is alert tribe in south africa has its own language.",是警报在南非部落有它自己的语言。
"there are mothers and fathers who will lie awake after the children fall asleep and wonder how he'll make the mortgage or pay the bills are save enough for their child's college education.",有很多母亲和父亲将躺在清醒后孩子们入睡，难怪他会如何作抵押或支付账单攒钱供孩子的大学教育。
"that average man fails not because he laughs ability but because he laughs ability to concentrate.",那平均个人失败不是因为他笑的能力，而是因为他笑得集中注意力的能力。
"that chooses to appear before the court on friday.",选择在周五出庭。
"i didn't have time to cook dinner the night so i went out and bought about snail.",我没有时间做饭晚上吃晚饭，于是出去买了关于蜗牛。
"can you tell me how to get to the train station.",你能告诉我去火车站怎么走。
"i lost a school play when i was playing out that for the school festival and i was then required to write an apology letter.",我丢失了学校戏剧时正在上演，为学校的节，然后要求我在写一封道歉信。
"when a friend firms from the far is that not a light fall.",一个朋友的公司远不是小雪。
"if so then freeze no problem at all is there.",如果那么冻结根本究竟有没有问题。
"if you are going to be like this i'll just leave.",如果你将要像我就会离开。
"thank you thank the name the sacred war sounds a bit sarcastic.",感谢你感谢名称神圣战争声音有点讽刺。
"he can continue playing as long as we know it makes too much.",他可以继续播放，只要我们知道它使太多。
"it's than so that led those have and then told for so long by so many to be cynical and fearful and doubtful about what we can achieve to put their hands on the arc of history and bend it once more toward the hope of a better day.",它是比，带领那些了，然后告诉为长久以来，很多是玩世不恭和恐惧和怀疑是我们能够实现把他们手中的弧的历史和弯曲再次向希望更好的一天。
"but the girls please bring the donation of says up to the stage.",但女孩请把捐赠的上台说。
"he had not had a single drop of rain for two weeks.",他两个星期没有一滴雨。
"have a comparative that in cities are all use of online news search engines online shopping online banking online stops and so on is much lower.",有比较，在城市是所有的在线新闻搜索引擎在线购物网上银行在线停止使用低得多。
"if i am going to say you have to say it will force and take away our opponents of the lucky to retaliate.",如果我要说你想说它将迫使和带走我们的幸运，报复的对手。
"our sister about cement plant potatoes suu kyi nice and chinese cabbage at the market.",我们对水泥厂土豆昂山素季漂亮妹妹和市场大白菜。
"my father always said that heaven help those who help themselves.",我爸爸总是说那天堂帮助那些帮助自己的人。
"an old man was resting in the shade of the tree.",一位老人在树的树荫下休息。
"you think you can live on a dollar a day in america.",你认为你能在一天一美元在美国生活。
"the substance is light enough to fluff and the water.",这种物质是轻，足以能够绒毛和水。
"because of a foreign the original design our website is vulnerable to sponge action attacks.",由于外国原设计我们的网站很容易海绵行动攻击。
"you have only to read this article to see how serious that seven was.",只你要读这篇文章来看，七是多么严重。
"she told me that she would go to paris and honest.",她告诉我她会去巴黎，诚实。
"brown strike because the company has improved our wages.",布朗罢工因为公司拥有完善我们的工资。
"it is better to do well then to say well.",它是更好，做得很好然后说的好啊。
