audio_file_path,query
../asr_mt/speech/0_Lifebeingveryshortweoughtnottowastetime.wav,"i've been very shortly out not to waste time."
../asr_mt/speech/10_Onethousanddollarswillcoveralltheexpensesfortheparty.wav,"one thousand dollars that's ever all the expenses for the party."
../asr_mt/speech/11_Herhusbandintendstobringoutanewmonthlymagazine.wav,"uh-huh spend intends to bring out the new monthly magazine."
../asr_mt/speech/12_Thecontractisinthebagsoletsgooutandcelebrate.wav,"the contract is in the bag so let's go out and celebrate."
../asr_mt/speech/13_ThehistoryofChinaisolderthanthatofJapan.wav,"the history of china is older than that in japan."
../asr_mt/speech/14_HowlongareyougoingtobeinOxfordfor.wav,"how long are you going to be in oxford floor."
../asr_mt/speech/15_ForValentinesdayIusedrosepetalstospelloutmysweetheartsname.wav,"sorry valentine's day i use drugs puzzles to sell out my sweethearts name."
../asr_mt/speech/16_Ialwayshavetwocupsofcoffeeinthemorning.wav,"i always have to have pets of coffee in the morning."
../asr_mt/speech/17_Icalledyouontheonehandtoinviteyououttoeatandontheothertotellyoumysonisgoingtogetmarried.wav,"i tell you on the one hand to invite you out to eat another to tell you my son is going to get married."
../asr_mt/speech/18_Idontliketeacherswholikestudentswhodontlikeaskingquestions.wav,"i don't like teachers like students and like asking questions."
../asr_mt/speech/19_Weshouldtrytoavoidimposingourownbeliefsonothers.wav,"we should try to invite imposing our own beliefs on others."
../asr_mt/speech/1_Itsapitythatyoucantbuymiracleslikeyouwouldbuypotatoes.wav,"it's it's pretty that you can't buy miracles like you would buy potatoes."
../asr_mt/speech/20_Iliketotakeahotbatheverynightbeforebed.wav,"i like to take a hot bath every night before bed."
../asr_mt/speech/21_BeforeIstartdoingsmalltalkIdrathernottalkatall.wav,"so i start doing small talk they'd rather not stop at all."
../asr_mt/speech/22_TheXinhongRiverislongerthananyriverinJapan.wav,"seen hunter ever is longer than any river in japan."
../asr_mt/speech/23_ThehousewhoseroofyoucanseeisMrBakers.wav,"house who's rose you can see is mr batres."
../asr_mt/speech/24_Shespopularnotbecauseshesbeautifulbutbecausesheskindtoeveryone.wav,"he's popular not because he's beautiful that because he's trying to everyone."
../asr_mt/speech/25_Fromreadinggoodbookswecanderivepleasurefriendshipexperienceandinstruction.wav,"from reading certain books they can drive pleasure friendship experiencing instruction."
../asr_mt/speech/26_Aglassofcoldwaterisveryrefreshinginhotweather.wav,"the last of cold water is very refreshing in hot weather."
../asr_mt/speech/27_Shescrapedhershoescleanbeforesheenteredthehouse.wav,"she spreads her shoes plane before she entered the house."
../asr_mt/speech/28_Housesmadeofwoodaretheeasiesttocatchonfire.wav,"health has made of lives are the easiest to catch on fire."
../asr_mt/speech/29_TomhasmadeuphismindtogotoBostontostudy.wav,"time has made up his mind to go to boston to study."
../asr_mt/speech/2_MyfatherhasbeenlivinginNagoyafor30years.wav,"my son has been living in the glass source radio years."
../asr_mt/speech/30_HeistheonlyAmericanwhohasswumtheEnglishChannel.wav,"he's the only american husband english channel."
../asr_mt/speech/31_WhenIwasinSalemIwouldoftenplaytenniswithJohn.wav,"when i was in san i would often play tennis with john."
../asr_mt/speech/32_Doyoukeepincontactwithyourhighschoolclassmates.wav,"do you keep in contact with your high school classmates."
../asr_mt/speech/33_Myfatherissooldthatheishardofhearing.wav,"my father is so old that he is hard of hearing."
../asr_mt/speech/34_Becausetheentrancewaslockedwecouldntenterthehouse.wav,"because then friends last last weekend and for the house."
../asr_mt/speech/35_OfcourseIlearntaboutChinafromtextbookswhenIwasinJapanbutwhatIseeformyselfinChinaiscompletelydifferentfromwhatisdescribedinthosetextbooks.wav,"of course i learned about china from text books when i was in japan but like i say for myself and china is completely different from what is described in those textbooks."
../asr_mt/speech/36_TheTigerslostthegamewhichwasasurprisetous.wav,"the tigers lost the game which was a surprise to us."
../asr_mt/speech/37_Itsfinejustmakesureyoudontsaythatagain.wav,"it's fine just make sure you don't say that again."
../asr_mt/speech/38_TheZulutribeinSouthAfricahasitsownlanguage.wav,"it's really tried in south africa has its own language."
