text,translation
"i've been very shortly out not to waste time.",我一直非常短，不想浪费时间。
"one thousand dollars that's ever all the expenses for the party.",一千块钱的党有史以来所有的费用。
"uh-huh spend intends to bring out the new monthly magazine.",嗯，花打算带出新的月刊杂志。
"the contract is in the bag so let's go out and celebrate.",该合同是在书包里，咱们出去吧，庆祝。
"the history of china is older than that in japan.",中国历史上比在日本。
"how long are you going to be in oxford floor.",你打算在牛津地板。
"sorry valentine's day i use drugs puzzles to sell out my sweethearts name.",抱歉的情人节那天我使用药物的难题，卖出我的心上人的名字。
"i always have to have pets of coffee in the morning.",我总是要在早上有宠物的咖啡。
"i tell you on the one hand to invite you out to eat another to tell you my son is going to get married.",我一方面告诉你，请你出去吃别人来告诉你，我的儿子要结婚。
"i don't like teachers like students and like asking questions.",我不喜欢老师喜欢学生，喜欢问问题。
"we should try to invite imposing our own beliefs on others.",我们应该尽量邀请强加我们自己对他人的信念。
"it's it's pretty that you can't buy miracles like you would buy potatoes.",它是它的漂亮，像你会买土豆，你不能买奇迹。
"i like to take a hot bath every night before bed.",我喜欢每天晚上睡觉前洗个热水澡。
"so i start doing small talk they'd rather not stop at all.",所以我开始做小谈他们宁愿不停下来根本。
"seen hunter ever is longer than any river in japan.",看到的猎人永远是长于日本任何一条河。
"house who's rose you can see is mr batres.",有玫瑰你的房子可以看到是先生雷斯。
"he's popular not because he's beautiful that because he's trying to everyone.",他是受欢迎的不是因为他是美丽，是因为他对每个人都尝试。
"from reading certain books they can drive pleasure friendship experiencing instruction.",从某些读书可以驾驶乐趣友谊经历指令。
"the last of cold water is very refreshing in hot weather.",最后的冰冷是水的非常令人耳目一新，在炎热的天气。
"she spreads her shoes plane before she entered the house.",她传播她的鞋飞机之前她进了屋子。
"health has made of lives are the easiest to catch on fire.",健康方面取得的生活是最容易着火。
"time has made up his mind to go to boston to study.",时间已经打定主意要去波士顿研究。
"my son has been living in the glass source radio years.",我的儿子一直生活在玻璃源无线电年。
"he's the only american husband english channel.",他是唯一的美国丈夫英语频道。
"when i was in san i would often play tennis with john.",在 san 中的时候我经常会和约翰打网球。
"do you keep in contact with your high school classmates.",你保持联系你的高中同学。
"my father is so old that he is hard of hearing.",我的父亲是太老了，他是重听。
"because then friends last last weekend and for the house.",因为朋友最后上周末然后为家。
"of course i learned about china from text books when i was in japan but like i say for myself and china is completely different from what is described in those textbooks.",当然我了解了中国从文本书籍在日本的时候但就像我说，我和中国是完全不同的从什么所述那些教科书。
"the tigers lost the game which was a surprise to us.",老虎队输掉了比赛，这是给我们一个惊喜。
"it's fine just make sure you don't say that again.",它很好只是请确保你不要再说一遍。
"it's really tried in south africa has its own language.",它真的在尝试南非有它自己的语言。
"yeah i know there's an sunday surreal i like after the children fall asleep and wonder how if you make the mortgage or paid actors bills or save enough for their child's college education.",知道那里是星期天超现实我喜欢以后孩子掉熟睡如何如果你做抵押贷款或支付的演员法案或储存足够的孩子的大学教育。
"the average man sells not because she lets ability but because he lets ability to concentrate.",男性的平均销售并不是因为她让能力，而是因为他让我们集中注意力的能力。
"that she was just to appear before the part on friday.",她是在上周五的部分只是出庭。
"i didn't have time to cook dinner tonight so i went out and bought the bucks meal.",我没有时间今晚做晚饭，于是出去买了块套餐。
"can you tell me how to get to the train station.",你能告诉我去火车站怎么走。
"i lost you still see when i was cleaning up after the still festival and i was then required to write an apology letter.",当清理还是节，我然后被要求写一封道歉信，我失去了你还看。
"well my friend turns from as far as that not delightful.",好我的朋友从那段路远，不会令人愉快。
"so then freeze no problem at all is there.",所以当时冻结根本究竟有没有问题。
"if you're going to be like this i'll just leave.",如果你要这样，我就会离开。
"don't you think the name the sacred war sounds of its artistic.",你不觉得名称及其艺术神圣战争之声。
"you can't continue playing as long as we don't make too much nice.",你不能继续播放，只要我们不要太多好。
"it's the answer that lead those have been sold for so long by so many to be cynical in fearful in gel fill about what we can achieve to put their hands and america's history and then that one's more for the hope of the better day.",它长的这么多是愤世嫉俗的恐惧对我们所能取得的把他们的手和美国的历史，然后那个凝胶填充中是更多的美好的一天，希望为已售出带领那些答案。
"but the girls please bring the donations houses up to the stage.",但女孩请您带上台捐款房子。
"we have not had a single drop of rain for two weeks.",我们还没有两个星期的一滴雨。
"however compared to that in cities rural uses online news search engines online shopping online banking online stocks and so on is much lower.",但是相比，在城市农村使用在线新闻搜索引擎在线购物网上银行在线股票低很多。
"hi i'm going to say you have to say it was worse and take away your opponents ability to retaliate.",要说你不得不说它更糟糕的是嗨，带走你的对手采取报复行动的能力。
"our sister bought some make plans potatoes fifteen niesen chinese cabbage at the market.",我们的姐妹买了些使计划土豆十五 niesen 大白菜在市场。
"my father always said that haven't helps those who help themselves.",我的父亲总是说，还没有帮助那些帮助自己的人。
"an old man was resting in the shade of the tree.",一位老人在树的树荫下休息。
"do you think you can live on the dollar day in america.",你认为你可以在美元一天住在美国。
"substances light enough just love and the water.",物质光就足够的爱和水。
"because of the sign original designer website is vulnerable to sponge action attacks.",因为路牌原始设计师网站就很容易以海绵行动攻击。
"you have only to read this article to see how serious the accident was.",只你要读这篇文章，看看这次事故是多么严重。
"she told me that she would go to paris in august.",她告诉我她会在八月去到巴黎。
"right on strike because the company has improved our wages.",对罢工因为公司拥有完善我们的工资。
"it's better to do around then to say well.",它是更好，做好身边，然后说的好啊。
"university life is the time when you enjoy yourself to the fullest.",大学生活是当你享受自己的时间。
"the area round the melting ice cream was probably with and.",融化的冰淇凌周围可能是与和。
"yeah nasty fortune and stock trading during the last one.",是令人讨厌的财富和股票交易在最后一个期间。
"street smarts than than it is always learning with terrorists in the summer.",比它总是在学习与恐怖分子在夏天的街头智慧。
"there's a lot in the background of the picture.",有很多图片的背景。
"if they design tomorrow i'll go on the picnic.",如果他们的设计明天我就去野餐。
"something you should know about news that m._s. fried of sites.",你应该知道关于新闻下午 θ 油炸的网站。
"his thing is that there's the clothes relations between birth order and personality.",他的事就是衣服出生顺序与个性之间的关系。
"since then he had put his whole cylinder has worked.",从那时起，他把他的整个工作缸。
"i tried to reach you on the phone but i wasn't able to get through.",都试图与你在电话里没能够获得通过。
"well i think from the station to the house states only five minutes.",嗯我想从车站到房子国家只有五分钟。
"fall into a gaining or what.",落入获得或什么。
"some of the blue eyes water in the world is founded trade or like.",一些世界上的蓝眼睛水成立贸易之类的。
"that's an addition is our thoughts except that they have to prove what their fantasy creates.",这就是加入我们的想法只是他们必须证明他们幻想的创建。
"to tell the truth i would rather stay at home then go out.",说实话，我宁愿呆在家里而出去。
"in british english to get the sack means to be fired from your job.",在英式英语中要解雇意味着要开除你的工作。
"but it's still better is that that has has a beautiful garden.",但还好是那已经有一个美丽的花园。
"i find words with concise definitions to be the easiest to remember.",我发现与简明的定义，是最容易记住的单词。
"in the center of the university campus stands the statue of the founder.",在大学的中心校园铜像的创始人。
"and then came over and asked if i was okay.",然后走了过来，问我是不是好。
"it's the answer that lead those have been sold for so long by so many to be cynical in fearful in gel fill about what we can achieve to put their hands and america's history and then that one's more for the hope of the better day.",它长的这么多是愤世嫉俗的恐惧对我们所能取得的把他们的手和美国的历史，然后那个凝胶填充中是更多的美好的一天，希望为已售出带领那些答案。
"she came to town feeling the views are getting a new job.",她来到镇感觉意见得到一份新工作。
"the mountain pass was under a blanket of leaves soft and easy to walk on.",山口被下的叶子软，容易走上一条毯子。
"it's like to turn off the reading land is that okay.",要关闭阅读土地是那好吧。
"too many instances of three men and seven women.",很多情况下的三名男子和 7 名妇女。
"excuse me i have to get off at the next stop.",请原谅我，我要在下一站下车。
"the train and like the john has never dreamed of flying.",火车和像约翰从未梦想过的飞行。
"friend of mine asked me to send her postcard.",我的朋友问我要给她寄明信片。
"my business has that last gotten on the right track.",我的生意了，最后得到了正确的轨道上。
"it's one day you leave i will be very sad.",它是有一天你离开我会很伤心。
"i didn't get to spend a lot of time with you on this visit.",我没花很多时间与你对这次访问。
"it is a great joy to see our own sentences translated into a multitude of other languages.",它是非常快乐的看看我们自己的句子翻译成多种其他语言。
"because that she needs the data base indexing in as a result system efficiency has improved by five so.",因为，她需要的数据基索引中由于系统的效率有显著的提高五所以。
"and i'm like man the way they like their testy strong in hot to keep them awake all night long.",和我一样的人他们喜欢他们暴躁的强热让他们整晚都保持清醒的方式。
"you cannot separate the mail from the coffee once you put it in.",一旦你把它放不能将邮件分开的咖啡。
"we love our mother almost without knowing it without feeling it as it is as natural as to live.",我们爱我们的母亲几乎没有感觉到它自然的生活，对于不知情的情况下。
"it's sometimes hard to choose between dreams and reality.",有时，难的是梦想和现实之间作出选择。
"you really exists but you will never know what it is to live.",你真的存在，但你永远不会知道什么是生活。
"he's a lot from his inside jackets pocket.",他很多是从他的夹克口袋里。
"<unk> never have had enough time for considering the world if they had just been required to study latin.",&lt;unk&gt;永远不会有足够的时间来考虑世界，如果他们只是被要求学习拉丁语。&lt;/unk&gt;
"the large crowd garden approval is mark no sir i played the first few bars as many for nothing.",大群花园批准是标记不，先生，我扮演什么的很多人第一的几间酒吧。
"do you know the concerts schedule of london cincinnati orchestra.",你知道伦敦音乐会日程辛辛那提乐团。
