audio_file_path,query
../asr_cl/speech/0_Whatpartyhadavictoryinthe2015UKelection.wav,"what party had a victory and she'll and says it's election."
../asr_cl/speech/100_WhatisontheGooglecalendar.wav,"what is on the google challenger."
../asr_cl/speech/101_WhatdoesmyGooglecalendartellmetodo.wav,"no it doesn't get real challenge or tell me to do."
../asr_cl/speech/102_WhatdoesthecalendarsaythatIoughttodo.wav,"and does the calendars say then i ought to do."
../asr_cl/speech/103_WhatdidGooglesayIshoulddotomorrow.wav,"what did do they'll say i should do the marta."
../asr_cl/speech/104_WhatdoestheGooglecalendarthingsay.wav,"i just think it'll tell under saying say."
../asr_cl/speech/105_WhatamIgoingtodo.wav,"what am i going to june."
../asr_cl/speech/106_Whatismyplan.wav,"what is my plan."
../asr_cl/speech/107_Whatareonmyplanduringthenextweek.wav,"but i and i plan during the next week."
../asr_cl/speech/108_WhatplandoIhavefornextmonth.wav,"what do i have four next month."
../asr_cl/speech/109_Whatstuffhavebeenputonmyplan.wav,"let's just have been put on my plan."
../asr_cl/speech/10_Theadaptiveimmunesystemmustdistinguishbetweenwhattypesofmolecules.wav,"that's your immune system us distinguish between what types of molecules."
../asr_cl/speech/110_WhatplanhaveImade.wav,"what what have i made."
../asr_cl/speech/111_Whatplanhasbeenmade.wav,"what's that has been made."
../asr_cl/speech/112_WhatkindofstuffamIsupposedtothisafternoon.wav,"what kind of stuff and i suppose to this afternoon."
../asr_cl/speech/113_Whatkindofthingtodo.wav,"what kind of thing to do."
../asr_cl/speech/114_Whattodonextweek.wav,"what you do next week."
../asr_cl/speech/115_Whathasshownuponschedule.wav,"what has shown up on stencil."
../asr_cl/speech/116_DoestheschedulesayIamgoingtowork.wav,"that's the schedule say i'm going to work."
../asr_cl/speech/117_Doesthescheduleforcemetodoanything.wav,"does the stencil forced me to do anything."
../asr_cl/speech/118_DoIneedtoworktoday.wav,"do i need to work today."
../asr_cl/speech/119_DoIneedtospend2hoursfixingcomputerstomorrow.wav,"do i need to spend two hours fixing computers tomorrow."
../asr_cl/speech/11_ABChadsecondarystatusontheexistingstationsinwhatOhiotown.wav,"oh ten secondary status on the existing stations and letting hire them."
../asr_cl/speech/120_DoIhavetodosomethingtoday.wav,"do i have to do something today."
../asr_cl/speech/121_DoIhavetoreadthebooktonight.wav,"do i have to read the book tonight."
../asr_cl/speech/122_DoImakeanyappointmentrecently.wav,"doing making employment recently."
../asr_cl/speech/123_WhatappointmenthaveIarranged.wav,"well that's fine and have a range."
../asr_cl/speech/124_Whatappointmentshowsupintheschedule.wav,"well that's fine that shows up in the special."
../asr_cl/speech/125_Isthereanychunkofmytimereservedtoday.wav,"is there any chance of my time reserved today."
../asr_cl/speech/126_AmItotallybookedtoday.wav,"and i totally but today."
../asr_cl/speech/127_AmIfreeWednesdaynoon.wav,"and i freelance union."
../asr_cl/speech/128_WillIbeavailabletodosomethingtomorrowafternoon.wav,"well i'd be available to do something tomorrow afternoon."
../asr_cl/speech/129_WhenshouldIstartdoingthestuffonmyschedule.wav,"and should i start doing the stuff on my schedule."
../asr_cl/speech/12_Whywouldonepleadguiltytoacrimeinvolvingcivildisobedience.wav,"well i was monthly bill teacher crime involving civil disobedience."
../asr_cl/speech/130_Whatistheschedule.wav,"what is the stencil."
../asr_cl/speech/131_Whatisonmyschedule.wav,"what is on my schedule."
../asr_cl/speech/132_WhatscheduledoIhave.wav,"let's send you'll do i have."
../asr_cl/speech/133_WhatscheduledidImake.wav,"what's pensions and i make."
../asr_cl/speech/134_WhatdidIdolastweek.wav,"what did i do last week."
../asr_cl/speech/135_WhathaveIdonelastyear.wav,"but how then last year."
../asr_cl/speech/136_WhathaveIbeendoingsincelastTuesday.wav,"but how they've been doing since last tuesday."
../asr_cl/speech/137_WhatdidIdolastThanksgiving.wav,"what did i do last thanksgiving."
../asr_cl/speech/138_Whatdoesthecalendartellaboutmylastweek’sschedule.wav,"and does the calendar tell about my last week's schedule."
../asr_cl/speech/139_Whatdoyouknowaboutmyplan.wav,"but you know about my plan."
../asr_cl/speech/13_Whatistheroleofteachersineducation.wav,"what is the role of teachers in education."
../asr_cl/speech/140_WhendidIgoshoppinglastweek.wav,"and then i go shopping last week."
../asr_cl/speech/141_WhatdidIdoafterwatchingthemovieyesterday.wav,"what did i do after watching the movie yesterday."
../asr_cl/speech/142_AmIgoingtodoanythingtoday.wav,"and i'm going to do anything today."
../asr_cl/speech/143_AmIgoingtoattendameetingat10.wav,"and i'm going to attend a meeting at one though."
../asr_cl/speech/144_Whatismyentirecalendarfor2015.wav,"what is my entire calendar for show and five."
../asr_cl/speech/145_Whatismyschedulefor2017.wav,"what is nice gentle sociable and seven."
../asr_cl/speech/146_WhatshouldIdoforthenextcoupleofdays.wav,"what should i do for the next couple of days."
../asr_cl/speech/147_WhatamIgoingtodotomorrowmorning.wav,"what am i going to do than i am learning."
../asr_cl/speech/148_WhatwillIdoforthefollowingweek.wav,"like well i do for the following week."
../asr_cl/speech/149_WhatwillIdoforthenextcoupleofhours.wav,"like well i just for the next couple of hours."
../asr_cl/speech/14_WhoclaimedthatthenameBlackDeathfirstappearedin1631.wav,"the plane that the name black debts first appeared in one sixty one."
../asr_cl/speech/150_Whatisonmyplatetoday.wav,"what is on my plate today."
../asr_cl/speech/151_Whatwasonmyplatelastnight.wav,"what was on my plate last night."
../asr_cl/speech/152_WhatwillbeonmyplatethisSaturdayafternoon.wav,"well they'll be on my plate this saturday afternoon."
../asr_cl/speech/153_WhatistheearliestclassIhavefortomorrow.wav,"what is the earliest class i have for tomorrow."
../asr_cl/speech/154_Whenwillthelecturefinishtomorrowafternoon.wav,"i know the lectures finish tomorrow afternoon."
../asr_cl/speech/155_WhatdoIdoafterclasseveryday.wav,"but yeah i do after class every day."
../asr_cl/speech/156_WhatamIdoingbeforedinnerat6pm.wav,"what am i doing this for dinner at sixty and."
../asr_cl/speech/157_WhatactivitydoIusuallydointhemorning.wav,"well that's good that you do i usually do in the morning."
../asr_cl/speech/158_WhatactivitywillIdotomorrowmorning.wav,"well that's good that you will i do the morning."
../asr_cl/speech/159_DidIspentseveralhoursreadingbookslastmonth.wav,"'cause i spend several hours reading books last month."
../asr_cl/speech/15_WhatisthenicknamefortheDeltaintheNetherlands.wav,"what is the nickname for the children the netherlands."
