query,image_path,result
"What party had a victory in the 2015 UK election?",,"['QA', '0'], and starting indices: [0]"
"What is the main difference between online pharmacies and community pharmacies?",,"['QA', '0'], and starting indices: [0]"
"What type of treatment are pharmacists important for?",,"['QA', '0'], and starting indices: [0]"
"Who did Genghis Khan unite before he began conquering the rest of Eurasia?",,"['QA', '0'], and starting indices: [0]"
"In what year was HMS Dreadnought launched?",,"['QA', '0'], and starting indices: [0]"
"What cytokines are responsible for communication between white blood cells?",,"['QA', '0'], and starting indices: [0]"
"What are some proposals to connect campuses?",,"['QA', '0'], and starting indices: [0]"
"What compounds can be masked with the molecules of the host cell in order for a virus to evade detection?",,"['QA', '0'], and starting indices: [0]"
"Where did the residents of Antioch flee to?",,"['QA', '0'], and starting indices: [0]"
"Who designed the garden for the University Library?",,"['QA', '0'], and starting indices: [0]"
"The adaptive immune system must distinguish between what types of molecules?",,"['QA', '0'], and starting indices: [0]"
"ABC had secondary status on the existing stations in what Ohio town?",,"['QA', '0'], and starting indices: [0]"
"Why would one plead guilty to a crime involving civil disobedience?",,"['QA', '0'], and starting indices: [0]"
"What is the role of teachers in education?",,"['QA', '0'], and starting indices: [0]"
"Who claimed that the name Black Death first appeared in 1631?",,"['QA', '0'], and starting indices: [0]"
"What is the nickname for the Delta in the Netherlands?",,"['QA', '0'], and starting indices: [0]"
"Western governments considered Islamists to be the lesser of two evils when compared to whom?",,"['QA', '0'], and starting indices: [0]"
"How many tonnes of tomatoes does Victoria produce?",,"['QA', '0'], and starting indices: [0]"
"In what complexity class do complement problems of NP problems exist?",,"['QA', '0'], and starting indices: [0]"
"What charter has become an important aspect of EU law?",,"['QA', '0'], and starting indices: [0]"
"How has civil disobedience evolved in current times?",,"['QA', '0'], and starting indices: [0]"
"Whose relics reside in the Becket Casket?",,"['QA', '0'], and starting indices: [0]"
"Where was a cinema relocated while repairs were underway?",,"['QA', '0'], and starting indices: [0]"
"During what period did downtown Fresno thrive?",,"['QA', '0'], and starting indices: [0]"
"Who sets the work agenda and allocates time in the chamber?",,"['QA', '0'], and starting indices: [0]"
"Who had no real military power during the Yuan?",,"['QA', '0'], and starting indices: [0]"
"How many types of movements do euplokamis tentilla have?",,"['QA', '0'], and starting indices: [0]"
"Some in the UMC feel that false ecumenism might result in what?",,"['QA', '0'], and starting indices: [0]"
"What is the major tributary of the Rhine?",,"['QA', '0'], and starting indices: [0]"
"How many metric tons of carbon are believed to be stored in the Amazon forest?",,"['QA', '0'], and starting indices: [0]"
"Why do some people chose to go to jail for their disobedience?",,"['CA', '0'], and starting indices: [0]"
"How many valves did the Corliss engine use?",,"['QA', '0'], and starting indices: [0]"
"What was the bubonic plague mechanism reliant on?",,"['QA', '0'], and starting indices: [0]"
"To what can the use of prolonged breathing of oxygen at 60 kPa lead?",,"['QA', '0'], and starting indices: [0]"
"When was the British Nationality Act passed?",,"['QA', '0'], and starting indices: [0]"
"By which year did the American cars mpg start to improve?",,"['QA', '0'], and starting indices: [0]"
"What was the name of the upgraded Saturn I called?",,"['QA', '0'], and starting indices: [0]"
"What period did the Rhine capture streams?",,"['QA', '0'], and starting indices: [0]"
"How many did this epidemic in China kill?",,"['QA', '0'], and starting indices: [0]"
"What is usually the goal of taking a plea bargain?",,"['QA', '0'], and starting indices: [0]"
"Who is seen as the ultimate climate change authority?",,"['QA', '0'], and starting indices: [0]"
"The owner typically awards a contract to who?",,"['QA', '0'], and starting indices: [0]"
"Between 1978 an d2008 four year full time undergraduate students were required to complete how many classes outside of their concentration?",,"['QA', '0'], and starting indices: [0]"
"Who was drawn to Jacksonville in the 1910s?",,"['QA', '0'], and starting indices: [0]"
"In which year did the newspaper define southern California?",,"['QA', '0'], and starting indices: [0]"
"How long has Proportionality been recognized as one of the general principles of EU law?",,"['QA', '0'], and starting indices: [0]"
"What have some plants repurposed the peptidoglycan layer genes for?",,"['QA', '0'], and starting indices: [0]"
"Which region began to grow and assert itself in the 2000s?",,"['QA', '0'], and starting indices: [0]"
"What year did the the case go before the supreme court?",,"['QA', '0'], and starting indices: [0]"
"What park is close to John Lennon street?",,"['QA', '0'], and starting indices: [0]"
"When was Dali conquered by the Yuan?",,"['QA', '0'], and starting indices: [0]"
"How many Nobel Laureates are among the school alumni?",,"['QA', '0'], and starting indices: [0]"
"When is the last time a fumble return touchdown happened in a Super Bowl?",,"['QA', '0'], and starting indices: [0]"
"What generally does not allow citizens to sue other citizens?",,"['QA', '0'], and starting indices: [0]"
