,query,answer,answer_regular_svc,answer_regular_randomforest,transcript_fisher,answer_fisher_svc,answer_fisher_randomforest,transcript_librispeech,answer_librispeech_svc,answer_librispeech_randomforest,transcript_tedlium,answer_tedlium_svc,answer_tedlium_randomforest
0,What party had a victory in the 2015 UK election?,QA,QA,QA,what party had a victory and she'll and says it's election.,QA,QA,WHAT PART HE HAD A VICTORY AND THE TWO L ONE FIVE OF COLLECTION.,QA,QA,what party had a vegetarian that show and five election.,QA,QA
1,What is the main difference between online pharmacies and community pharmacies?,QA,QA,QA,what is the main difference between online pharmacies and community pharmacies.,QA,QA,WHAT IS THE MAIN DIFFERENCE BETWEEN ONLINE PHARMACIES AND COMMUNITY PHARMACIES.,QA,QA,what is the main difference between online pharmacies and community pharmacies.,QA,QA
2,What type of treatment are pharmacists important for?,QA,QA,QA,what type of treatments are pharmacists important for.,QA,QA,WHAT TYPE OF TREATMENT ARE PHARMACISTS IMPORTANT FOR.,QA,QA,what type of treatment are pharmacists important for.,QA,QA
3,Who did Genghis Khan unite before he began conquering the rest of Eurasia?,QA,QA,QA,it changes fun unite before he began time during the rest of your asia.,QA,QA,THEIR GENGHIS KHAN UNITE BEFORE HE BEGAN CONQUERING THE REST OF EURASIA.,QA,QA,the chain has been unite before he began found carrying the rest of your asia.,QA,QA
4,In what year was HMS Dreadnought launched?,QA,QA,QA,right yeah lessons trying not launched.,QA,QA,AND WHAT YEAR WAS HIS DREAD NOT LAUNCHED.,QA,QA,what year was instead not launched.,QA,QA
5,What cytokines are responsible for communication between white blood cells?,QA,QA,QA,let's say looking you sorry sponsel for communication between like blood cells.,QA,QA,WHAT SAID OPINIONS ARE RESPONSIBLE FOR COMMUNICATION BETWEEN WHITE BLOOD SELVES.,QA,QA,what set of genes are responsible for communication between white blood cells.,QA,QA
6,What are some proposals to connect campuses?,QA,QA,QA,what are some proposals to connect campuses.,QA,QA,WHAT ARE SOME PROPOSALS TO CONNECT CANVASES.,QA,QA,but are some proposals to connect campuses.,QA,QA
7,What compounds can be masked with the molecules of the host cell in order for a virus to evade detection?,QA,QA,QA,well sometimes can be messed with the knowledge ills of the hosts cell in order for virus to invade detection.,QA,QA,WHAT COMPOUNDS CONVENE ASKED FOR THE MOLECULES OF THE HOST SELLIN ORDER FOR A VIRUS TO EVADE DETECTION.,QA,QA,what from fans can be messed with the molecules of the host cell in order for a virus to evade detection.,QA,CA
8,Where did the residents of Antioch flee to?,QA,QA,QA,where did the residents of and she actually too.,QA,QA,WHERE DID THE RESIDENCE OF ANTIOCH FLEE TO.,QA,QA,where did the residents of antioch fleets to.,QA,QA
9,Who designed the garden for the University Library?,QA,QA,QA,design the garden for the university library.,QA,QA,IT IS EYEING THE GARDEN FOR THE UNIVERSITY LIBRARY.,QA,QA,he designed the garden for the university library.,QA,QA
