text,translation
"i've been very shortly out not to waste time.",我已经很短了不是浪费时间。
"one thousand dollars that's ever all the expenses for the party.",一千元那是曾经为党的所有费用。
"uh-huh spend intends to bring out the new monthly magazine.",嗯支出打算带出新的月刊。
"the contract is in the bag so let's go out and celebrate.",该合同收入囊中让我们出去庆祝。
"the history of china is older than that in japan.",中国的历史比日本更旧。
"how long are you going to be in oxford floor.",你要去多久是牛津楼。
"sorry valentine's day i use drugs puzzles to sell out my sweethearts name.",遗憾的情人节我使用药物谜题出卖我的情人的名字。
"i always have to have pets of coffee in the morning.",我一定要到咖啡宠物在上午。
"i tell you on the one hand to invite you out to eat another to tell you my son is going to get married.",我告诉你，一方面邀请你出去吃另一个告诉你我的儿子就要结婚了。
"i don't like teachers like students and like asking questions.",我不喜欢老师喜欢学生喜欢问这问那。
"we should try to invite imposing our own beliefs on others.",我们应该尽量邀请别人强加自己的信念。
"it's it's pretty that you can't buy miracles like you would buy potatoes.",这是它很，你可以不买奇迹就像你买土豆。
"i like to take a hot bath every night before bed.",我想洗个热水澡每晚睡前。
"so i start doing small talk they'd rather not stop at all.",所以我开始做小谈，他们宁愿不停止的。
"seen hunter ever is longer than any river in japan.",看到猎人曾经是长于日本的河流。
"house who's rose you can see is mr batres.",房子谁的玫瑰，你可以看到的是先生巴特雷斯。
"he's popular not because he's beautiful that because he's trying to everyone.",他的流行不是因为他的美丽是因为他试图给大家。
"from reading certain books they can drive pleasure friendship experiencing instruction.",从阅读某些书籍，他们可以驾驶乐趣的友谊经历了指令。
"the last of cold water is very refreshing in hot weather.",冷水最后是在炎热的天气很清爽。
"she spreads her shoes plane before she entered the house.",她传播她的鞋子平面她进了屋前。
"health has made of lives are the easiest to catch on fire.",健康做出了的生命是最容易着火。
"time has made up his mind to go to boston to study.",时间已经打定主意去波士顿留学。
"my son has been living in the glass source radio years.",我的儿子一直住在玻璃源无线电年。
"he's the only american husband english channel.",他是唯一的美国丈夫英吉利海峡。
"when i was in san i would often play tennis with john.",当我在SAN I经常会打网球和约翰。
"do you keep in contact with your high school classmates.",你保持你的高中同学联系。
"my father is so old that he is hard of hearing.",我的父亲是那么老，他是重听。
"because then friends last last weekend and for the house.",因为那时朋友上次上周末的房子。
"of course i learned about china from text books when i was in japan but like i say for myself and china is completely different from what is described in those textbooks.",当然，我了解了从课本中国时，我在日本，但就像我说我自己和中国是从什么是这些教科书描述的完全不同。
"the tigers lost the game which was a surprise to us.",老虎失去了游戏，这是一个惊喜给我们。
"it's fine just make sure you don't say that again.",它的罚款只是确保你不要再说了。
"it's really tried in south africa has its own language.",它在南非的真正尝试都有自己的语言。
"yeah i know there's an sunday surreal i like after the children fall asleep and wonder how if you make the mortgage or paid actors bills or save enough for their child's college education.",是的，我知道有一个超现实的星期天我喜欢后的孩子入睡和不知道如何，如果你作抵押或支付账单的演员或存够钱送孩子上大学。
"the average man sells not because she lets ability but because he lets ability to concentrate.",一般人不卖，因为她让的能力，但因为他让集中精力的能力。
"that she was just to appear before the part on friday.",她只是上周五的部分之前出现。
"i didn't have time to cook dinner tonight so i went out and bought the bucks meal.",我没有时间做饭今晚的晚餐，所以我出去买了雄鹿一顿。
"can you tell me how to get to the train station.",你能告诉我怎么去火车站。
"i lost you still see when i was cleaning up after the still festival and i was then required to write an apology letter.",我失去了你仍然可以看到当我仍然节后清理，然后我被要求写一封道歉信。
"well my friend turns from as far as that not delightful.",还有我的朋友从原来只要不是令人愉快的。
"so then freeze no problem at all is there.",所以后来冻结一点问题都没有在那里。
"if you're going to be like this i'll just leave.",如果你打算要这样我就离开。
"don't you think the name the sacred war sounds of its artistic.",你不觉得这个名字其艺术的神圣战争的声音。
"you can't continue playing as long as we don't make too much nice.",你不能继续只要打我们不作过多不错。
"it's the answer that lead those have been sold for so long by so many to be cynical in fearful in gel fill about what we can achieve to put their hands and america's history and then that one's more for the hope of the better day.",这导致那些已经被卖了这么长时间这么多的是在凝胶填充物是我们能够实现把他们的手和美国的历史玩世不恭的恐惧，然后，一个人的多为美好明天的希望的答案。
"but the girls please bring the donations houses up to the stage.",但女生请携带捐赠的房子到了舞台。
"we have not had a single drop of rain for two weeks.",我们还没有下雨了两个星期一滴。
"however compared to that in cities rural uses online news search engines online shopping online banking online stocks and so on is much lower.",然而，相比于城市乡村的用途在线新闻搜索引擎，网上购物网上银行在线股票等要低得多。
"hi i'm going to say you have to say it was worse and take away your opponents ability to retaliate.",嗨，我是会说你不得不说这是糟糕，带走你的对手进行报复的能力。
"our sister bought some make plans potatoes fifteen niesen chinese cabbage at the market.",我们的姐妹买了一些在市场出谋划策土豆15尼森中国白菜。
"my father always said that haven't helps those who help themselves.",我的父亲总是说，没有帮助那些谁帮助自己。
"an old man was resting in the shade of the tree.",一个老人在休息的树荫下。
"do you think you can live on the dollar day in america.",你认为你可以住在美元日在美国。
"substances light enough just love and the water.",物质光照充足只是喜欢和水。
"because of the sign original designer website is vulnerable to sponge action attacks.",因为符号原创设计师的网站很容易受到海绵行动攻击。
"you have only to read this article to see how serious the accident was.",你只有阅读这篇文章，看到这起事故是多么严重。
"she told me that she would go to paris in august.",她告诉我，她会去巴黎在8月。
"right on strike because the company has improved our wages.",正确的罢工，因为该公司已经提高了我们的工资。
"it's better to do around then to say well.",这是更好地做身边然后说好。
"university life is the time when you enjoy yourself to the fullest.",大学生活是当你尽情享受最充分的时间。
"the area round the melting ice cream was probably with and.",区域轮融化的冰激凌可能与和。
"yeah nasty fortune and stock trading during the last one.",最后一个过程啊讨厌的财富和股票交易。
"street smarts than than it is always learning with terrorists in the summer.",街头智慧比超过它总是在夏天恐怖分子学习。
"there's a lot in the background of the picture.",有很多在图象的背景。
"if they design tomorrow i'll go on the picnic.",如果他们明天的设计我会去野餐。
"something you should know about news that m._s. fried of sites.",你应该了解的消息，m._s。炒站点。
"his thing is that there's the clothes relations between birth order and personality.",他的事情是，有出生顺序与个性之间的关系衣服。
"since then he had put his whole cylinder has worked.",从那时起，他已经把他的整个气缸工作过。
"i tried to reach you on the phone but i wasn't able to get through.",我试图在手机上实现你，但我没能打通。
"well i think from the station to the house states only five minutes.",嗯，我觉得从车站到房子州只有五分钟。
"fall into a gaining or what.",陷入获得或什么。
"some of the blue eyes water in the world is founded trade or like.",一些蓝眼睛水世界是建立贸易或喜欢。
"that's an addition is our thoughts except that they have to prove what their fantasy creates.",这是一个除了是我们的不同之处在于他们的想法来证明自己什么幻想造成的。
"to tell the truth i would rather stay at home then go out.",说实话我宁愿呆在家里再出去。
"in british english to get the sack means to be fired from your job.",在英式英语来获得袋是指从您的解雇。
"but it's still better is that that has has a beautiful garden.",但它仍然是更好的是，这已经有一个美丽的花园。
"i find words with concise definitions to be the easiest to remember.",我找到准确的定义的话是最容易记住。
"in the center of the university campus stands the statue of the founder.",在大学校园的中心矗立着创始人的雕像。
"and then came over and asked if i was okay.",然后走了过来，问我是不是没事。
"it's the answer that lead those have been sold for so long by so many to be cynical in fearful in gel fill about what we can achieve to put their hands and america's history and then that one's more for the hope of the better day.",这导致那些已经被卖了这么长时间这么多的是在凝胶填充物是我们能够实现把他们的手和美国的历史玩世不恭的恐惧，然后，一个人的多为美好明天的希望的答案。
"she came to town feeling the views are getting a new job.",她来到小镇感觉的观点得到一个新的工作。
"the mountain pass was under a blanket of leaves soft and easy to walk on.",山口是叶子柔软，容易走的覆盖下。
"it's like to turn off the reading land is that okay.",它就像关掉读数土地是好的。
"too many instances of three men and seven women.",三男七女太多的实例。
"excuse me i have to get off at the next stop.",打扰一下，我在下一站下车。
"the train and like the john has never dreamed of flying.",火车，像约翰从来没有梦想飞翔。
"friend of mine asked me to send her postcard.",我的朋友问我送她的明信片。
"my business has that last gotten on the right track.",我的生意有最后得到正确的轨道上。
"it's one day you leave i will be very sad.",它有一天你离开，我会很伤心的。
"i didn't get to spend a lot of time with you on this visit.",我没有得到花了很多时间与你的这次访问。
"it is a great joy to see our own sentences translated into a multitude of other languages.",这是一个巨大的喜悦，看看我们自己的句子翻译成其他语言，众说纷纭。
"because that she needs the data base indexing in as a result system efficiency has improved by five so.",因为她需要在作为结果系统效率五个改进，使该数据库的索引。
"and i'm like man the way they like their testy strong in hot to keep them awake all night long.",我很喜欢的男人，他们喜欢在炎热的暴躁强的方式，让他们整晚没睡。
"you cannot separate the mail from the coffee once you put it in.",邮件从咖啡一旦你把它放在你不能分开。
"we love our mother almost without knowing it without feeling it as it is as natural as to live.",我们爱我们的母亲几乎不知道它没有感觉，因为它是自然的生活。
"it's sometimes hard to choose between dreams and reality.",有时很难梦想与现实之间做出选择。
"you really exists but you will never know what it is to live.",你真的存在，但你永远不会知道它是活的。
"he's a lot from his inside jackets pocket.",他从他外套里面的口袋里了不少。
"<unk> never have had enough time for considering the world if they had just been required to study latin.",<unk>永远不会有足够的时间考虑世界，如果他们刚刚被要求学习拉丁文。
"the large crowd garden approval is mark no sir i played the first few bars as many for nothing.",在大庭广众花园审批纪念不，先生我打前面几小节的许多白白。
"do you know the concerts schedule of london cincinnati orchestra.",你知道伦敦辛辛那提交响乐团的音乐会日程。
