text,translation
"i've been very short we are not to waste time.",我已经很短，我们不能浪费时间。
"one thousand dollars will cover all the expenses for the party.",一千元将涵盖党全部费用。
"he has been intends to bring out a new monthly magazine.",他一直打算带出一个新的月刊。
"the contract is in the bag so let's go out and celebrate.",该合同收入囊中让我们出去庆祝。
"the history of china is older than that of japan.",中国的历史比日本更旧。
"how long are you going to be in oxford four.",你要去多久是在牛津四人。
"for valentine's day i used rose petals to spell out my sweethearts name.",情人节我用玫瑰花瓣拼出我的情人的名字。
"i always have two cups of coffee in the morning.",我一直有两杯咖啡在上午。
"i call you on the one hand to invite the welsh week and on the other to tell you my senate is going to get married.",我给你打电话，一方面邀请威尔士周，另一方面告诉你我的参议院就要结婚了。
"i don't like a church who like students who don't like asking questions.",我不喜欢谁喜欢谁不喜欢问问题的学生教堂。
"we should try to avoid imposing around the leafs on others.",我们应该尽量避免对周围的人施加叶子。
"it's a pity that you can buy americans like you would buy potatoes.",那就是你可以买到美国人喜欢你会买土豆可惜。
"i like to take a hot that's every night before bed.",我喜欢乘坐热那是每晚睡前。
"the far i start doing small thought they'd rather not top end all.",远我开始做小的想法，他们宁愿不上端所有。
"seen her is longer than any river in japan.",见过她比日本任何河流更长的时间。
"has his roof you can say is mr baker's.",有他的屋顶可以说是贝克先生的。
"he's popular not because he's day to fall but because the spine to everyone.",他的流行不是因为他是当天下跌，但由于脊椎给大家。
"from reading the books we can derive pleasure friendship experience and instruction.",从阅读书籍我们可以得到愉悦的体验友谊和指导。
"a glass of cold water is very refreshing in hot weather.",冷水玻璃在炎热的天气很清爽。
"straight for shows plane before she entered the house.",直表演飞机之前，她进了屋。
"has made of wood are the easiest to catch on fire.",已经用木头做的是最容易着火。
"time has made up his mind to go to boston to study.",时间已经打定主意去波士顿留学。
"my father has been living in nagoya force rio years.",我的父亲一直住在名古屋力拓年。
"he is the only american who has been the english channel.",他是谁一直是英吉利海峡的唯一的美国人。
"when i was in salem i would often play tennis with john.",当我在塞勒姆我会经常打网球与约翰。
"katie and contact with your high school classmates.",凯蒂和你的高中同学联系。
"my father his soul that he is hard of hearing.",我的父亲他的灵魂，他是重听。
"because then trends was left we can enter the house.",因为那时的趋势留给我们可以进入房子。
"of course i learnt about china from textbooks when i was in japan but what i see for myself and china's completely different from what is described in those textbooks.",当然，我了解了一些从教科书上中国时，我在日本，但我所看到的为自己和中国的距离是什么在那些教科书描述的完全不同。
"the tigers last game which was a surprise to us.",老虎最后一场比赛这是一个惊喜给我们。
"it's fine just make sure you don't say that again.",它的罚款只是确保你不要再说了。
"is alert tribe in south africa has its own language.",警惕部落在南非都有自己的语言。
"there are mothers and fathers who will lie awake after the children fall asleep and wonder how he'll make the mortgage or pay the bills are save enough for their child's college education.",有父亲和母亲谁将会躺在清醒后的孩子入睡和不知道他会作抵押或支付账单是存够钱送孩子上大学。
"that average man fails not because he laughs ability but because he laughs ability to concentrate.",那一般人失败，不是因为他的能力笑，而是因为他笑道集中精力的能力。
"that chooses to appear before the court on friday.",即选择上周五出庭。
"i didn't have time to cook dinner the night so i went out and bought about snail.",我没有时间做饭的夜晚，所以我出去买了约蜗牛。
"can you tell me how to get to the train station.",你能告诉我怎么去火车站。
"i lost a school play when i was playing out that for the school festival and i was then required to write an apology letter.",我失去了一个学校玩，当我在玩出为学校的节日，当时我要求写的道歉信。
"when a friend firms from the far is that not a light fall.",当从远处朋友的企业是不轻落。
"if so then freeze no problem at all is there.",如果是的话冻结在所有没有问题是存在的。
"if you are going to be like this i'll just leave.",如果你将要这样我就离开。
"thank you thank the name the sacred war sounds a bit sarcastic.",感谢你感谢神圣的战争听起来有点讽刺的名字。
"he can continue playing as long as we know it makes too much.",他可以继续玩，只要我们知道它使太多。
"it's than so that led those have and then told for so long by so many to be cynical and fearful and doubtful about what we can achieve to put their hands on the arc of history and bend it once more toward the hope of a better day.",它比这样就导致那些具有然后叫了这么多这么久是玩世不恭和恐惧和怀疑是我们能够实现把历史的弧线他们的手和朝向美好明天的希望再一次弯曲。
"but the girls please bring the donation of says up to the stage.",但女生请携带捐赠表示了舞台。
"he had not had a single drop of rain for two weeks.",他没有雨两周一滴。
"have a comparative that in cities are all use of online news search engines online shopping online banking online stops and so on is much lower.",有一个对比，在城市都采用网上新闻搜索引擎，网上购物网上银行在线停止等要低得多。
